French 	Cognates 	Etymology 	Possible Celtic Cognates 	Latin/Romance
javelot 'javelin' 	- 	Gaul. gabalaccos, fr gabalos 'fork', Mantuan giavlòt 'javelin' 	Ir gabhla, gen. gablach 'spear', W gaflach 'dart' 	-
lance 	- 	L lancea, fr Gaul lankia, Mantuan lansa 'lance' and lansér 'lancer', Port. lança 	MIr do-léicim 'I toss, fling, launch' 	-
lande 'heath, moor' 	Port. landa 	Gaul landa 	Breton lann 'heath', W llan 'village, yard', C lan 'open space, plain', lann 'enclosure', Ir/Sc lann 'enclosure' 	-
landier 'andiron, firedog' 	Basq andere 'woman', Astur. andera 'heifer' 	OFr andier, fr Gaul. andero 'heifer; young woman' 	W anner 'heifer', Br (Leon/Corn) ounner, (Trég) annouar, (Vann) annoér 'heifer', Ir ainnir 'young woman' 	-
lieue 'league (measure)' 	Prov. lègo, Cat llegua, Sp legua, Pg légua, It lega 	LL leucas, fr Gaul. 'league marker' 	OIr líe, gen. líac 'stone', Ir liag 'stone' 	-
lie 'lees, wine dregs' 	Sp légamo, dial. lidia, liria, OIt led(g)a, Romansch glitta, Basq lekeda 	ML liæ, fr Gaul. lĭga 'sediment' 	OBr leh 'silt, deposit', Br lec'hi 'dregs', W llai 'silt, deposit' 	-
loche 'loach' 	Astur. lloca, Port. loca 	VL laucca, fr Gaul. loukā 'light' 	W llug 'shimmer, glint', OIr lúach 'bright' 	-
lotte 'monkfish' 	Port. lota 	- 	Gaul. lotta, literally 'flat(fish)' or 'wide(fish)' 	OIr lethaid 'he extends, expands', W lledu 'to extend, expand'; OIr lethan 'wide', W llydan; W lled 'flounders', C leyth 'flounder, flat-fish' 	-
luge 'sled, toboggan' 	Béarn. leo, Prov lièio, Piém. leza, Rouerg leudo, leuzo; Romansch schliuza, schlieza 	VL leudia, leudico (5th century), fr Gaul. sludio 'sled' 	Ir slaod 'raft, float', Sc slaod 'drag, trail', OBr stloit 'dragging, sliding', Br stlej 'drag', W llithr 'glide' 	-
maint 'many, much' 	It mantissa, mantisa 'a little something extra', Astur manta 'quantity' 	Gaul. manti 	Br meñt, meñd 'multitude, greatness', W maint 'size, capacity, quantity', C myns, Ir méid, méad 'size', Sc meud, miad 	-
manteau 'coat' 	Basq mantar 'shirt, barque tarpaulin', Mantuan mantèl 'coat' 	Diminutive of OFr mante, fr LL manta, fr L mantum, mantellum, fr Gaul. mantlon 'covering' 	Br malan, manal, C manal 'sheaf' 	-
marne 'marl' 	Sp/OIt/Ast/Port marga, Lyon margagni 'deep mud, muck', Germ Mergel 	OFr marle, fr LL margila (influenced by argilla 'white clay'), fr Gaul. marga 	Br marg 	-
mélèze 'larch' 	OProv melseca, Prov mèlze, ODauph melese, Piedmontese malëzzo 	OFr-Prov melese (1313), fr LL melix, -icem, merger of Gaul melissos 'honey-sweet' + Latin larix 'larch' 	Sc meilise 'hedge mustard'; further to W melys 'sweet', C melys, Br milis 'honey-flavored', Ir/Sc milis 'sweet' 	Latin larix (cf. FrProv (Swiss) larze, It larice)
mine 'mine' 	OProv mena, Astur mena 'vein' 	LL mina, fr Gaul. *mēna 'ore, mine' 	W mwyn 'ore', C moen, Ir míanach 'ore' 	-
molène 'mullein' 	Romansch mélen, Sardinian mélinu 'yellow' 	OFr moleine, influenced by mol 'soft', fr. LL melinus 'yellow', from Gaul. melinos 	Br melen, W/C melyn 'yellow, mullein' 	-
mouton 'sheep' 	Sp mocho 'he-goat', It montone 'ram' 	Gaul. *molton 'wedder' 	W mollt 'ram', Br maout 'wedder', C mols 'ewe', Ir/Sc mult 'ram' 	-
noue 'dry river bed, river flood plain' 		OFr noe 'river bed', fr LL nauda 'marshland', fr Gaul., fr Proto-Celtic snauda, fr sna- 'to swim' 	MIr snúad 'river' 	-
obier 'water elder' 	It (l)oppio 'maple', Vegliot vaple 'maple', Astur. obleru 'thorn' 	Lat. (Milan) opulus (Varro), from Gaul. opolos 'maple' 	Ogam Irish Oqoli, Irish MacOchaill (personal names) 	-
palefroi 'palfrey, saddle horse' 	Germ Pferd "horse", Du paard 'horse'; Port palafrém, vereda, Sp vereda 'pathway', Galician verea 'main road' 	LL paraverēdus 'pack horse, spare horse', fr Greek para + Lat. verēdus 'post horse', fr Gaul., fr ver- 'over' + redu 'running, swift' 	W gorwydd 'horse, charger' 	-
petit 'small' 	Prov/Cat petit, Occ pichòn, pichòt, Rum pitì 'to shrink' 	ML pittitus (775), akin to LL pitinnus, pitulus 'tiny', from Gaul *pitt- 'tiny' ~ pit- 'tip, point' 	Br pizh ‘meticulous; frugal, stingy’, C pyth ‘tight with money, penny-pincher’; W pid 'tapering end, tip', obsolete †piden 'penis', Br pidenn 'penis' 	Latin putillus
pièce 'piece, part' 	It pezza, Prov pessa, pesa, Port peça, Astur. petisa 'hopscotch' 	ML petia, petium, from Gaul petsi 'thing, part', from pet 'what' 	W peth 'thing', Br pez 'thing', C peyth, Ir/Sc cuid 'part' 	Latin pars
pinson 'finch' 	Tuscan pincióne, Port pisco Cat pinsà, Sp pinzón, pinchón 	Gaul. *pincio 	W pinc, Br pint 	Latin fingilla (borrowed from Germanic)
quai 'wharf, embankment', chai 'cellar' 	- 	Normand quai and Poitevin chai, fr LL caium 'surrounding wall or hedges', fr Gaul. caio 'hedge' 	W cae 'fence, hedge', Br kae, C ke 	-
raie 'lynchet' 	Cat. rega 'furrow', rec 'channel', Prov rega 'to furrow', Occ regon 'furrow' 	OFr roie, fr Gallo-Lat. rica, fr Gaul. 'furrow' 	W rhych, Br reg, Ir eitre, Sc riach 	L porca (cf. Cat pórca 'land, flower bed')
rebours 'against the grain' 	Prov. rebous 	OFr rebors, fr LL reburrus 'swollen', from Gaul., from ro- 'very' + -borros 'stout, inflated' 	W bwr 'stout, sturdy, big', C borr 'fat; protuberance, paunch', OIr borr 'swollen, inflated', Ir borr 'pride, greatness' 	-
rêche 'rough, harsh' 	- 	OFr resque, fr Gaul. rescos 'rough' 	- 	-
renfrogner 'to sulk, frown, grimace' 	It infrigno 'frowning', Lomb frignare 'to whimper, make a wry face' 	OFr enfrogne 'wry face, wrinkled nose' and froignier 'to stick one's nose up at', both from frogne, froigne 'wry face, wrinkled nose', fr late Gaul. frogna 'nostril', from earlier srogna 	W ffroen 'nose', Br froen, Ir sróine, Sc sròn 	-
ruche 'hive' 	Fr-Prov (Jurassien) reûtche 'bark', Prov. rusco 'bark' 	OFr rusche, Gallo-Lat rūsca 'bark', fr. Gaul. rūsco 	Br/C rusk, W rhisgl, Ir rusg, Sc rùsg 	-
saie, sayon 'say, sagum cloak' 	Sp sayo 	LL sagum, saga, sagus, fr Greek ságos, fr Gaul. sagos 'coat', fr *seg- 'to hold on or together' 	no direct cognates; *segno > MIr sén 'snare', W hoenyn 'snare'; *segsmen > W hemin, Ir seaman 'rivet' 	-
sapin 'fir' 	Norm/OFr sap, Romand sap, sab, sabs, Foréz sa, Occ (dial.) sap, Astur. sapera 'small oak' 	Savoy sapin, fr Lat. sappinus, compound of Lat. pinus 'pine' and Gaul. sappus 	W sybwydd 'fir', OC sibnit 'silver fir' 	-
séran 'heckle, hatchel', sérancer 'to ripple flax or hemp' 	Fr-Prov ceran ‘hemp comb’ 	OFr serans 'hemp comb', from Gaul. kērā, gen. kērans 'comb' 	OIr cír 'comb', Ir cìor, Sc cìr, Manx kere, gen. kereen 	-
sillon 'furrow' 	Occ. selhan, Romansch saglia 'strip in a swath over which grass is strewn', NItal (Parma) sia 'space between furrows' 	OFr seillon, fr silier 'to plough, till', fr Gaul *selia 'dirt mound', fr *selu 'I take away' 	OIr coisle ‘to leave’, fo-coisle ‘he takes away’, do-fochsla ‘to seize, carry off’ 	-
soc 'ploughshare' 		Gaul. soccos 'pig; ploughshare' 	Ir soc 'ploughshare, snout', suig 'pig', W swch, Br souc’h', C soch' ploughshare' / W hwch Br houc’h C hogh 'pig' 	Lat vomer
souche 'tree stump, tree base' 	Occ soca, It zoca, Montferrat soc, socca, Aragon zoque; Romansch tschücha, Norm chuque, Berry suche, Piemontese süka, Sp chueca 'stump' 	OFr çoche, seuche, fr late Gaul. śokka, from earlier stokka 'part, piece' 	Br soc'h, C sogh obtuse, MIr tócht 'part, piece' 	-
soue 'pigsty' 	FrProv (Foréz) soue, souda 'pigpen' 	OFr seu, soit, fr LL (Salic Law) sotem, sutem, fr late Gaul. *sucotegos, compound of succos 'pig' + tegos 'house' 	no cognates, but similar formation to Ir bothigh 'cow byre', W dafaty 'sheepcot' 	Lat suile 'pigpen' (cf. OFr soil 'pigsty; wild boar's wallow')
suie 'soot' 	Lorr seuche, Savoy suçha, Prov suja, suga, Gasc soja 	LL sugia, fr Gaul. sudia 	OIr súide, Ir súiche, Sc súithe, B huzel, C hudhygel, W huddugl 	Lat fulliginem (cf. Sp hollín, Pg fuligem, It fuligine, Romansch fulin, Rum funingine)
talus 'embankment, slope' 	Dauph. talapan 'gable', Prov. tauvero 'field border' 	OFr talu, fr LL talutium, fr Gaul. talos 'brow, steep' 	W tâl, taloedd, C/Br tal 'forehead, brow', OIr tal, taul 'shield boss, protrusion, hump' 	-
tan 'tanbark, tan (color)' 	- 	Gaul. tanno 'holm oak, live oak' 	Br tann 'red oak', glastann 'holm oak', OC tannen, C glastan 'holm oak', OIr caerthann 'service tree', tinne 'holly' (mod. teine 'furze, gorse') 	-
tanière 'animal den, lair' 	It tasso, Sp tejon badger 	OFr taisniere, tesniere, fr taisse, taisson 'badger', fr VL taxo, fr Gaul. tasgō 'badger' 	Sc taghan 'marten', OIr (name) Tadhg 'badger' 	-
taranche 'screw bar, ratchet on a basket wine press' 	Prov. tarenco, Port tranco, Sp tranca ‘cudgel, club’ 	Gaul. tarǐnca 'screw, nail' 	OIr tairinge 'iron nail, tine', Ir tairne 'metal nail, tarrag', Sc tairnge 'nail' 	-
tarière 'auger, gimlet' 	OProv taraire, Romansch tareder, Sp taladro, Pg trado, Port trado, 	OFr tarere, fr Lat. taratrum, fr Gaul. taratron 	W taradr, Br tarar, C tarder, Ir tarachair 	-
tonne 'ton', tonneau 'barrel' 	Cat/Port tona 	OFr tonne 'cask', fr LL tunna 'wine-skin', from Gaul. tonna 'skin, hide' 	Ir tonn 'skin, hide', W ton 'skin', C ton 'surface; lawn', Br tonnen 'rind, surface, head hair' 	-
triage 'forest canton' 	Bourg. traige 'small pass between houses' 	OFr triège 'track, trail', fr Gaul. tragos, gen. trageto 'foot' 	W troed, Br troad, C troes, OIr traig, gen. traiged 'foot', Ir/Sc troigh 	-
trogne 'bloated or funny face' 	Piem. trugnu, Cat tronya 'brat' 	Gaul. trugna 'nose, snout' 	W trwyn 'nose, snout', C troen 'nose', Br stroen 'snot' 	-
truand 'vagrant, beggar' 	Prov truans, Sp truhan 'baffoon, jester', Port truhão, truante, Galician trogo "sadness, pity" 	Gaul trugant, from trugos 'wretch' 	W truan 'wretched', Sc truaghan 'wretch, miserable creature'; further to OIr tróg, Ir trogha, W/C/Br tru 'wretched' 	-
truie 'sow' 	Gasc/Cat troja, Occ truèja, Ligurian trœa 	LL troia, fr Gaul. *trogia, from trogu 'to give birth' 	W troglwyth, trollwyth 'pig litter', C godra, Br godro to milk, OIr trog 'birth (delivery), litter', Sc trog 'to raise, rear' 	-
vandoise 'dace' 	Wall vindwesse, Pic ventoise 	LL vindēsia, fr Gaul. *vǐndǐsia, fr vindos 'white' 	no cognates exist, but like formations do: Br gwyniad 'dace, pollan', Sc fionnag 'whiting' 	-
vanneau 'lapwing' 	It vannello 	Gaul. vanello, venello 'swallow' 	W gwennol, C/Br gwennel, Ir fáinle, Sc fáinleog 	-
vassal 'vassal, serf', valet 'attendant' 	- 	LL vassalus, diminutive of Gaul. vassos 'youth, servant', Mantuan vasal 'vassal' and valét 'vallet' 	W/C gwas 'youth, page, servant', Br gwaz 'youth, vassal', MIr foss 'servant', Sc fasdadh 'rabble army' 	-
vautre ‘boarhound, bearhound’ 	Cat guilter 'mastiff' 	OFr veltre, vaultre, fr Gaul vertraha, fr vertragos, compound of ver- 'over' + tragos 'foot', ‘high-footed’, i.e. ‘fleet-footed’ 	OIr traig 'foot', Ir troigh, W troed, Br troad + Ir for, Br war 'over, super', W gwor- 	-
vélar, vellar 'hedge mustard' 	- 	Gaul. vela 'ring, tendril', fr. velu 'to bend' 	Ir fáil 'ring', Br gwalenn 'twig, rod; ring', OIr fillid 'he bends' 	-
verne, vergne 'alder, white alder' 	OProv vernha, Fr-Prov verna, Cat vern, NItal dial. sberna, Rouchi verne ‘draft-pole; purlin’, Liégois/Namurois vièrna ‘helm’ 	Gaul. vernos 'alder' 	Br/W gwern, C gwernen, Ir fearn, Sc feàrna 	-
virer to turn, swerve' 	Sp virar 	LL vīrāre, from Gaul *viru 'to deviate, veer off', from viros (see next) 	W gwyro 'to shift, deviate', Br goara 'to curve' 	-
virole 'ferrule (virl, verrel)' 	Friul viruele 	OFr virelle, fr Lat. viriola 'bracelet', diminutive of vira, viriæ, fr Gaul. viros 'round, crooked' 	Ir fiar 'bent, crooked', W gwyr, C gwarr 'nape, curve', Br goar, gwar 	-
vouge 'French glaive, Lochaber ax' 	Occ vezoig, Bearnese bedulh, Spanish bodollo 	OFr vooge, fr LL vidubium 'wood-knife', fr Gaul., compound of vidu- 'wood' and -bi(d)on 'trimmer' 	Ir fiodhbha 'sickle', W gwyddif, C gwydhyv 'billhook Br gouzifiad 'pike, boar-spear' 	
