word,borrowing,age_oldest,age_youngest,age_oldest_num,age_youngest_num,word.1,phonology,phonlength,AoA,subtlexzipf,conc,cat,AoA_obj,source.language,source.word,source.language.mean.word.length,source.language.word.freq,source.word.length,18-260,word,5,age,source,effect,ids.code,ids.code2,1,modern.english,middle.english,old.english,old.english.length
sap,5,Proto-Germanic,Proto-Germanic,2500,2500,sap,s{p,3,7.53,3.4,4.37,Noun,2,English,NA,3.450980392,0.390831496,3,8-760,sap,5,Proto-Germanic,None,,8-760,8-760,1,sap,sap-e,woÌ„s,3
town,5,Proto-Germanic,Proto-Germanic,2500,2500,town,t6n,3,5.11,5.24,4.64,Noun,4,English,NA,3.450980392,0.390831496,3,19-150,town,5,Proto-Germanic,None,,19-150,19-150,1,city,citeÌ„,burg,4
tool,5,Proto-Germanic,Proto-Germanic,2500,2500,tool,tul,3,5.37,4.07,4.6,Noun,4,English,NA,3.450980392,0.390831496,3,9-422,tool,5,Proto-Germanic,None,,9-422,9-422,1,tool,tol,toÌ„l,3
hall,5,Proto-Germanic,Proto-Germanic,2500,2500,hall,h$l,3,5.35,4.83,4.67,Noun,2,English,NA,3.450980392,0.390831496,3,7-180,hall,5,Proto-Germanic,None,,7-180,7-180,1,meeting house,,heÌ„all,5
time,5,Proto-Germanic,Proto-Germanic,2500,2500,time,t2m,3,5.16,6.35,3.07,Noun,2,English,NA,3.450980392,0.390831496,3,14-110,time,5,Proto-Germanic,None,,14-110,14-110,1,time,time,stund,5
ash,5,Proto-Germanic,Proto-Germanic,2500,2500,ash,{S,2,6.63,4.19,4.96,Noun,2,English,NA,3.450980392,0.142987133,2,1-840,ash,5,Proto-Germanic,None,,1-840,1-840,1,ashes,assh-e,asce,4
awl,5,Proto-Germanic,Proto-Germanic,2500,2500,awl,$l,2,10.75,1.65,3.81,Noun,14,English,NA,3.450980392,0.142987133,2,6-370,awl,5,Proto-Germanic,None,,6-370,6-370,1,awl,al,Ã_l,2
bridge,5,Proto-Germanic,Proto-Germanic,2500,2500,bridge,brI_,4,5.58,4.71,4.97,Noun,2,English,NA,3.450980392,0.324104167,4,10-740,bridge,5,Proto-Germanic,None,,10-740,10-740,1,bridge,brigÌŒgÌŒe,brycg,5
limp,5,Proto-Germanic,Proto-Germanic,2500,2500,limp,lImp,4,7.16,3.35,4.15,Noun,4,English,NA,3.450980392,0.324104167,4,10-451,limp,5,Proto-Germanic,None,,10-451,10-451,1,limp,halten,healtian,8
queen,5,Proto-Germanic,Proto-Germanic,2500,2500,queen,kwin,4,4.42,5.08,4.45,Noun,2,English,NA,3.450980392,0.324104167,4,19-330,queen,5,Proto-Germanic,None,,19-330,19-330,1,queen,quen-e,cweÌ„n,4
rainbow,5,Proto-Germanic,Proto-Germanic,2500,2500,rainbow,r1nb5,5,4.26,4.18,4.57,Noun,2,English,NA,3.450980392,0.095324755,5,1-590,rainbow,5,Proto-Germanic,None,,1-590,1-590,1,rainbow,reinboue,(reÌ„n)boga,7
roof,5,Proto-Germanic,Proto-Germanic,2500,2500,roof,ruf,3,5,4.72,4.79,Noun,2,English,NA,3.450980392,0.390831496,3,7-510,roof,5,Proto-Germanic,None,,7-510,7-510,1,roof,rof,hroÌ„f,4
room,5,Proto-Germanic,Proto-Germanic,2500,2500,room,rum,3,4.22,5.6,4.79,Noun,2,English,NA,3.450980392,0.390831496,3,7-210,room,5,Proto-Germanic,None,,7-210,7-210,1,room,chaumbre,cofa,4
chicken,5,Proto-Germanic,Proto-Germanic,2500,2500,chicken,JIkIn,5,3.26,4.82,4.8,Noun,2,English,NA,3.450980392,0.095324755,5,3-550,chicken,5,Proto-Germanic,None,,3-550,3-550,1,chicken,chiken,henna,5
toe,5,Proto-Germanic,Proto-Germanic,2500,2500,toe,t5,2,3,4.08,4.93,Noun,2,English,NA,3.450980392,0.142987133,2,4-380,toe,5,Proto-Germanic,None,,4-380,4-380,1,toe,to,taÌ„,2
top,5,Proto-Germanic,Proto-Germanic,2500,2500,top,tQp,3,3.89,5.64,3.93,Noun,2,English,NA,3.450980392,0.390831496,3,12-330,top,5,Proto-Germanic,None,,12-330,12-330,1,top,top,brerd,5
gate,5,Proto-Germanic,Proto-Germanic,2500,2500,gate,g1t,3,5.32,4.34,4.96,Noun,2,English,NA,3.450980392,0.390831496,3,7-220,gate,5,Proto-Germanic,None,,7-220,7-220,1,door,dor-e,duru,4
oath,5,Proto-Germanic,Proto-Germanic,2500,2500,oath,5T,2,11.39,3.54,2.79,Noun,4,English,NA,3.450980392,0.142987133,2,21-250,oath,5,Proto-Germanic,None,,21-250,21-250,1,oath,oth,aÌ„Î¸,2
world,5,Proto-Germanic,Proto-Germanic,2500,2500,world,w3ld,4,5.32,5.88,4.36,Noun,6,English,NA,3.450980392,0.324104167,4,1-100,world,5,Proto-Germanic,None,,1-100,1-100,1,world,world,weorold,7
bed,5,Proto-Germanic,Proto-Germanic,2500,2500,bed,bEd,3,2.89,5.12,5,Noun,2,English,NA,3.450980392,0.390831496,3,7-420,bed,5,Proto-Germanic,None,,7-420,7-420,1,bed,bed,bedd(rest),8
bee,5,Proto-Germanic,Proto-Germanic,2500,2500,bee,bi,2,5,4.19,4.88,Noun,2,English,NA,3.450980392,0.142987133,2,3-820,bee,5,Proto-Germanic,None,,3-820,3-820,1,bee,be,beÌ„o,3
neck,5,Proto-Germanic,Proto-Germanic,2500,2500,neck,nEk,3,3,4.65,5,Noun,2,English,NA,3.450980392,0.390831496,3,4-280,neck,5,Proto-Germanic,None,,4-280,4-280,1,neck,hals,heals,5
drip,5,Proto-Germanic,Proto-Germanic,2500,2500,drip,drIp,4,5.89,3.6,4.14,Noun,4,English,NA,3.450980392,0.324104167,4,10-240,drip,5,Proto-Germanic,None,,10-240,10-240,1,drip,droppen,dropian,7
owl,5,Proto-Germanic,Proto-Germanic,2500,2500,owl,6l,2,6.21,4.07,4.93,Noun,2,English,NA,3.450980392,0.142987133,2,3-596,owl,5,Proto-Germanic,None,,3-596,3-596,1,owl,oule,uÌ„le,3
thief,5,Proto-Germanic,Proto-Germanic,2500,2500,thief,Tif,3,7.22,3.91,4.37,Noun,4,English,NA,3.450980392,0.390831496,3,21-520,thief,5,Proto-Germanic,None,,21-520,21-520,1,thief,thef,Î¸eÌ„of,4
clothes,5,Proto-Germanic,Proto-Germanic,2500,2500,clothes,kl5Dz,5,3.11,4.74,4.76,Noun,2,English,NA,3.450980392,0.095324755,5,6-120,clothes,5,Proto-Germanic,None,,6-120,6-120,1,clothing,clothes,sceorp,6
spear,5,Proto-Germanic,Proto-Germanic,2500,2500,spear,sp7R,4,7.22,3.42,5,Noun,2,English,NA,3.450980392,0.324104167,4,20-260,spear,5,Proto-Germanic,None,,20-260,20-260,1,spear,spere,gaÌ„r,3
midday,5,Proto-Germanic,Proto-Germanic,2500,2500,midday,mIdd1,5,7.37,3.64,3.72,Noun,4,English,NA,3.450980392,0.095324755,5,14-450,midday,5,Proto-Germanic,None,,14-450,14-450,1,noon,mid-dai,middÃ_g,6
king,5,Proto-Germanic,Proto-Germanic,2500,2500,king,kIN,3,5.42,5.09,4.1,Noun,2,English,NA,3.450980392,0.390831496,3,19-320,king,5,Proto-Germanic,None,,19-320,19-320,1,king,king,rihtend,7
sink,5,Proto-Germanic,1566,2500,434,sink,sINk,4,4.47,4.26,4.74,Noun,2,English,NA,3.450980392,0.324104167,4,23-510,sink,5,1566,None,,10-330,10-330,1,sink,sinken,sincan,6
house,5,Proto-Germanic,Proto-Germanic,2500,2500,house,h6z,3,3.16,5.83,5,Noun,2,English,NA,3.450980392,0.390831496,3,7-120,house,5,Proto-Germanic,None,,7-120,7-120,1,house,hous,huÌ„s,3
lung,5,Proto-Germanic,Proto-Germanic,2500,2500,lung,lVN,3,7.16,3.81,4.82,Noun,2,English,NA,3.450980392,0.390831496,3,4-441,lung,5,Proto-Germanic,None,,4-441,4-441,1,lung,longe,lung(er),6
tree,5,Proto-Germanic,Proto-Germanic,2500,2500,tree,tri,3,3.57,4.95,5,Noun,2,English,NA,3.450980392,0.390831496,3,8-600,tree,5,Proto-Germanic,None,,8-600,8-600,1,tree,tre,beÌ„am,4
dye,5,Proto-Germanic,Proto-Germanic,2500,2500,dye,d2,2,7.56,3.49,4.58,Noun,4,English,NA,3.450980392,0.142987133,2,6-390,dye,5,Proto-Germanic,None,,6-390,6-390,1,dye,deien,deÌ„agian,7
axe,5,Proto-Germanic,Proto-Germanic,2500,2500,axe,{ks,3,6.11,3.85,5,Noun,4,English,NA,3.450980392,0.390831496,3,9-250,axe,5,Proto-Germanic,None,,9-250,9-250,1,ax,ax-e,Ã_x,2
life,5,Proto-Germanic,Proto-Germanic,2500,2500,life,l2f,3,5.89,5.81,2.69,Noun,2,English,NA,3.450980392,0.390831496,3,4-741,life,5,Proto-Germanic,None,,4-740,4-740,5,life,on lif,cwicu,5
hair,5,Proto-Germanic,Proto-Germanic,2500,2500,hair,h8R,3,3.17,5.03,4.97,Noun,2,English,NA,3.450980392,0.390831496,3,4-140,hair,5,Proto-Germanic,None,,4-140,4-140,1,hair,her,hÃ_Ì„r,3
stepfather,5,Proto-Germanic,Proto-Germanic,2500,2500,stepfather,stEpf#D@R,9,8.42,2.99,4,Noun,2,English,NA,3.450980392,1.51E-07,9,2-710,stepfather,5,Proto-Germanic,None,,2-710,2-710,1,stepfather,step-fader,(steÌ„op)fÃ_der,10
stepmother,5,Proto-Germanic,Proto-Germanic,2500,2500,stepmother,stEpmVD@R,9,6.33,2.96,4.23,Noun,2,English,NA,3.450980392,1.51E-07,9,2-720,stepmother,5,Proto-Germanic,None,,2-720,2-720,1,stepmother,step-moder,steÌ„opmoÌ„dor,10
dew,5,Proto-Germanic,Proto-Germanic,2500,2500,dew,dju,3,7.37,3.09,4.38,Noun,4,English,NA,3.450980392,0.390831496,3,1-640,dew,5,Proto-Germanic,None,,1-640,1-640,1,dew,deu,deaw,4
west,5,Proto-Germanic,Proto-Germanic,2500,2500,west,wEst,4,5.89,5.29,3.44,Noun,2,English,NA,3.450980392,0.324104167,4,12-460,west,5,Proto-Germanic,None,,12-460,12-460,1,west,west,west,4
yolk,5,Proto-Germanic,Proto-Germanic,2500,2500,yolk,j5k,3,5.89,3.52,4.78,Noun,4,English,NA,3.450980392,0.390831496,3,5-971,yolk,5,Proto-Germanic,None,,5-971,5-971,1,egg yolk,eg-ge yolk,geoloca,7
elbow,5,Proto-Germanic,Proto-Germanic,2500,2500,elbow,Elb5,4,4.78,3.85,5,Noun,2,English,NA,3.450980392,0.324104167,4,4-320,elbow,5,Proto-Germanic,None,,4-320,4-320,1,elbow,elboue,elnboga,7
breast,5,Proto-Germanic,Proto-Germanic,2500,2500,breast,brEst,5,6.6,4.19,4.89,Noun,2,English,NA,3.450980392,0.095324755,5,4-410,breast,5,Proto-Germanic,None,,4-410,4-410,1,breast,brest,breÌ„ost,6
rafter,5,Proto-Germanic,Proto-Germanic,2500,2500,rafter,r#ft@R,6,10.74,2.36,4.97,Noun,8,English,NA,3.450980392,0.009532476,6,7-540,rafter,5,Proto-Germanic,None,,7-540,7-540,1,rafter,rafter,rÃ_fter,6
buttocks,5,Proto-Germanic,Proto-Germanic,2500,2500,buttocks,bVt@ks,6,7.72,3.08,4.83,Noun,2,English,NA,3.450980392,0.009532476,6,4-464,buttocks,5,Proto-Germanic,None,,4-464,4-464,1,buttocks,buttokes,broÌ„c,4
rope,5,Proto-Germanic,Proto-Germanic,2500,2500,rope,r5p,3,5.44,4.3,4.93,Noun,2,English,NA,3.450980392,0.390831496,3,9-190,rope,5,Proto-Germanic,None,,9-190,9-190,1,rope,rop,raÌ„p,3
chin,5,Proto-Germanic,Proto-Germanic,2500,2500,chin,JIn,3,4.22,3.93,4.89,Noun,2,English,NA,3.450980392,0.390831496,3,4-209,chin,5,Proto-Germanic,None,,4-209,4-209,1,chin,chin,cinn,4
web,5,Proto-Germanic,Proto-Germanic,2500,2500,web,wEb,3,5.37,4.17,4.37,Noun,4,English,NA,3.450980392,0.390831496,3,3-819,web,5,Proto-Germanic,None,,3-819,3-819,1,spider web,spither web,nett,4
steam,5,Proto-Germanic,Proto-Germanic,2500,2500,steam,stim,4,6.26,4.39,4.5,Noun,4,English,NA,3.450980392,0.324104167,4,1-831,steam,5,Proto-Germanic,None,,,,,,,,
wound,5,Proto-Germanic,Proto-Germanic,2500,2500,wound,w6nd,4,7.52,4.1,4.24,Noun,4,English,NA,3.450980392,0.324104167,4,4-850,wound,5,Proto-Germanic,None,,4-850,4-850,1,wound,wound,dolg,4
way,5,Proto-Germanic,Proto-Germanic,2500,2500,way,w1,2,5.39,6.12,2.34,Noun,4,English,NA,3.450980392,0.142987133,2,17-490,way,5,Proto-Germanic,None,,17-490,17-490,1,way,wei,wise,4
south,5,Proto-Germanic,Proto-Germanic,2500,2500,south,s6T,3,6.06,5.36,3.84,Noun,2,English,NA,3.450980392,0.390831496,3,12-480,south,5,Proto-Germanic,None,,12-480,12-480,1,south,south,suÌ„Î¸,3
hell,5,Proto-Germanic,Proto-Germanic,2500,2500,hell,hEl,3,5.11,4.89,2.41,Noun,2,English,NA,3.450980392,0.390831496,3,22-320,hell,5,Proto-Germanic,None,,22-320,22-320,1,hell,helle,hel,3
weapons,5,Proto-Germanic,Proto-Germanic,2500,2500,weapons,wEp@nz,6,6.95,4.38,4.76,Noun,NA,English,NA,3.450980392,0.009532476,6,20-210,weapons,5,Proto-Germanic,None,,20-210,20-210,1,weapons,wepenes,wÃ_Ì„pnu,5
sword,5,Proto-Germanic,Proto-Germanic,2500,2500,sword,s$d,3,5.45,4.09,4.93,Noun,2,English,NA,3.450980392,0.390831496,3,20-270,sword,5,Proto-Germanic,None,,20-270,20-270,1,sword,sword,sweord,6
wife,5,Proto-Germanic,Proto-Germanic,2500,2500,wife,w2f,3,5.67,5.15,4.13,Noun,2,English,NA,3.450980392,0.390831496,3,2-320,wife,5,Proto-Germanic,None,,2-320,2-320,1,wife,wif,wiÌ„f,3
throat,5,Proto-Germanic,Proto-Germanic,2500,2500,throat,Tr5t,4,5.09,4.16,4.97,Noun,2,English,NA,3.450980392,0.324104167,4,4-290,throat,5,Proto-Germanic,None,,4-290,4-290,1,throat,throte,ceolor,6
lamb,5,Proto-Germanic,Proto-Germanic,2500,2500,lamb,l{m,3,4.15,4.61,4.97,Noun,2,English,NA,3.450980392,0.390831496,3,3-290,lamb,5,Proto-Germanic,None,,3-290,3-290,1,lamb,lomb,lamb,4
tail,5,Proto-Germanic,Proto-Germanic,2500,2500,tail,t1l,3,3.7,4.45,4.96,Noun,4,English,NA,3.450980392,0.390831496,3,4-180,tail,5,Proto-Germanic,None,,4-180,4-180,1,tail,tail,tÃ_gl (steort),10
stone,5,Proto-Germanic,Proto-Germanic,2500,2500,stone,st5n,4,4.44,4.84,4.72,Noun,2,English,NA,3.450980392,0.324104167,4,1-440,stone,5,Proto-Germanic,None,,1-440,1-440,1,stone,ston,staÌ„n,4
storm,5,Proto-Germanic,Proto-Germanic,2500,2500,storm,st$m,4,4.94,4.46,4.7,Noun,2,English,NA,3.450980392,0.324104167,4,1-580,storm,5,Proto-Germanic,None,,1-580,1-580,1,storm,storm,storm,5
friend,5,Proto-Germanic,Proto-Germanic,2500,2500,friend,frEnd,5,3.57,5.29,3.07,Noun,2,English,NA,3.450980392,0.095324755,5,19-510,friend,5,Proto-Germanic,None,,19-510,19-510,1,friend,frend,gesiÌ„Î¸,5
braid,5,Proto-Germanic,Proto-Germanic,2500,2500,braid,br1d,4,7.22,2.59,4.38,Noun,2,English,NA,3.450980392,0.324104167,4,6-921,braid,5,Proto-Germanic,None,,6-921,6-921,1,braid,breiden,bundenfeax,10
duck,5,Proto-Germanic,Proto-Germanic,2500,2500,duck,dVk,3,3.5,4.53,4.86,Noun,2,English,NA,3.450980392,0.390831496,3,3-570,duck,5,Proto-Germanic,None,,3-570,3-570,1,duck,doke,ened (duÌ„ce),8
rib,5,Proto-Germanic,Proto-Germanic,2500,2500,rib,rIb,3,6.3,3.52,4.9,Noun,2,English,NA,3.450980392,0.390831496,3,4-162,rib,5,Proto-Germanic,None,,4-162,4-162,1,rib,rib-be,ribb,4
dust,5,Proto-Germanic,Proto-Germanic,2500,2500,dust,dVst,4,5.06,4.39,4.4,Noun,2,English,NA,3.450980392,0.324104167,4,1-213,dust,5,Proto-Germanic,None,,1-213,1-213,1,dust,dust,duÌ„st,4
ram,5,Proto-Germanic,Proto-Germanic,2500,2500,ram,r{m,3,8.32,3.65,4.55,Noun,2,English,NA,3.450980392,0.390831496,3,3-260,ram,5,Proto-Germanic,None,,3-260,3-260,1,ram,ram,ramm,4
ship,5,Proto-Germanic,Proto-Germanic,2500,2500,ship,SIp,3,5.33,4.77,4.87,Noun,2,English,NA,3.450980392,0.390831496,3,10-810,ship,5,Proto-Germanic,None,,10-810,10-810,1,ship,ship,scip,4
shit,5,Proto-Germanic,Proto-Germanic,2500,2500,shit,SIt,3,6.53,4.68,4.33,Noun,NA,English,NA,3.450980392,0.390831496,3,4-660,shit,5,Proto-Germanic,None,,4-660,4-660,1,defecate,shiten,dyncge,6
rain,5,Proto-Germanic,Proto-Germanic,2500,2500,rain,r1n,3,3.6,5.08,4.97,Noun,2,English,NA,3.450980392,0.390831496,3,1-750,rain,5,Proto-Germanic,None,,1-750,1-750,1,rain,rein,regn,4
snake,5,Proto-Germanic,Proto-Germanic,2500,2500,snake,sn1k,4,5.1,4.36,5,Noun,2,English,NA,3.450980392,0.324104167,4,3-850,snake,5,Proto-Germanic,None,,3-850,3-850,1,snake,worm,nÃ_Ì„dre,5
thing,5,Proto-Germanic,Proto-Germanic,2500,2500,thing,TIN,3,4.58,5.94,3.17,Noun,2,English,NA,3.450980392,0.390831496,3,11-180,thing,5,Proto-Germanic,None,,11-180,11-180,1,thing,thing,Î¸ing,4
heaven,5,Proto-Germanic,Proto-Germanic,2500,2500,heaven,hEvH,4,4.22,4.6,1.81,Noun,2,English,NA,3.450980392,0.324104167,4,22-310,heaven,5,Proto-Germanic,None,,22-310,22-310,1,heaven,heven,heofon,6
belly,5,Proto-Germanic,Proto-Germanic,2500,2500,belly,bElI,4,4.05,4.08,4.8,Noun,2,English,NA,3.450980392,0.324104167,4,4-431,belly,5,Proto-Germanic,None,,,,,,,,
north,5,Proto-Germanic,Proto-Germanic,2500,2500,north,n$T,3,6.55,5.32,4.14,Noun,4,English,NA,3.450980392,0.390831496,3,12-470,north,5,Proto-Germanic,None,,12-470,12-470,1,north,north,norÎ¸,4
miss,5,Proto-Germanic,Proto-Germanic,2500,2500,miss,mIs,3,6.33,5.21,2.54,Noun,2,English,NA,3.450980392,0.390831496,3,20-630,miss,5,Proto-Germanic,None,,20-630,20-630,1,miss target,missen,missan,6
waist,5,Proto-Germanic,Proto-Germanic,2500,2500,waist,w1st,4,6.42,3.71,4.72,Noun,4,English,NA,3.450980392,0.324104167,4,4-462,waist,5,Proto-Germanic,None,,4-462,4-462,1,waist,wast-e,middel,6
foal,5,Proto-Germanic,Proto-Germanic,2500,2500,foal,f5l,3,8.44,3.15,4.32,Noun,12,English,NA,3.450980392,0.390831496,3,3-450,foal,5,Proto-Germanic,None,,3-450,3-450,1,foal,fole,fola,4
shield,5,Proto-Germanic,Proto-Germanic,2500,2500,shield,Sild,4,6.5,3.8,4.66,Noun,4,English,NA,3.450980392,0.324104167,4,20-340,shield,5,Proto-Germanic,None,,20-340,20-340,1,shield,sheld,scild,5
neighbour,5,Proto-Germanic,Proto-Germanic,2500,2500,neighbour,n1b@R,5,5.06,4.24,4.64,Noun,NA,English,NA,3.450980392,0.095324755,5,19-540,neighbour,5,Proto-Germanic,None,,19-540,19-540,1,neighbor,neighebor,neÌ„ahgebuÌ„r,9
stepson,5,Proto-Germanic,Proto-Germanic,2500,2500,stepson,stEpsVn,7,7.94,2.7,3.68,Noun,4,English,NA,3.450980392,0.009532476,7,2-730,stepson,5,Proto-Germanic,None,,2-730,2-730,1,stepson,step-sone,steÌ„opsunu,9
drink,5,Proto-Germanic,Proto-Germanic,2500,2500,drink,drINk,5,3.47,5.06,4.76,Noun,2,English,NA,3.450980392,0.095324755,5,5-900,drink,5,Proto-Germanic,None,,5-900,5-900,1,beverage,beverage,drenc,5
horse,5,Proto-Germanic,Proto-Germanic,2500,2500,horse,h$s,3,4.15,4.99,5,Noun,2,English,NA,3.450980392,0.390831496,3,3-410,horse,5,Proto-Germanic,None,,3-410,3-410,1,horse,hors,hors,4
god,5,Proto-Germanic,Proto-Germanic,2500,2500,god,gQd,3,4.35,5.38,2.07,Noun,2,English,NA,3.450980392,0.390831496,3,22-120,god,5,Proto-Germanic,None,,22-120,22-120,1,God,God,god,3
hand,5,Proto-Germanic,Proto-Germanic,2500,2500,hand,h{nd,4,2.74,5.44,4.72,Noun,2,English,NA,3.450980392,0.324104167,4,4-330,hand,5,Proto-Germanic,None,,4-330,4-330,1,hand,hond-e,hand,4
whetstone,5,Proto-Germanic,Proto-Germanic,2500,2500,whetstone,wEtst5n,7,12.8,1.81,4.68,Noun,12,English,NA,3.450980392,0.009532476,7,9-930,whetstone,5,Proto-Germanic,None,,,,,,,,
thread,5,Proto-Germanic,Proto-Germanic,2500,2500,thread,TrEd,4,7.06,3.74,4.83,Noun,2,English,NA,3.450980392,0.324104167,4,6-380,thread,5,Proto-Germanic,None,,6-380,6-380,1,thread,thred-e,Î¸rÃ_Ì„d,4
spoon,5,Proto-Germanic,Proto-Germanic,2500,2500,spoon,spun,4,2.5,4.29,4.96,Noun,2,English,NA,3.450980392,0.324104167,4,5-370,spoon,5,Proto-Germanic,None,,5-370,5-370,1,spoon,spon,cucler,6
embers,5,Proto-Germanic,Proto-Germanic,2500,2500,embers,Emb@z,5,10.5,2.73,4.36,Noun,NA,English,NA,3.450980392,0.095324755,5,1-841,embers,5,Proto-Germanic,None,,1-841,1-841,1,embers,emeres,gleÌ„d,4
bead,5,Proto-Germanic,Proto-Germanic,2500,2500,bead,bid,3,5.63,2.93,4.9,Noun,4,English,NA,3.450980392,0.390831496,3,6-760,bead,5,Proto-Germanic,None,,6-760,6-760,1,bead,bed-e,,
beam,5,Proto-Germanic,Proto-Germanic,2500,2500,beam,bim,3,8.78,3.97,3.96,Noun,2,English,NA,3.450980392,0.390831496,3,7-550,beam,5,Proto-Germanic,None,,7-550,7-550,1,beam,bem,treÌ„ow,5
bean,5,Proto-Germanic,Proto-Germanic,2500,2500,bean,bin,3,3.42,4.06,5,Noun,2,English,NA,3.450980392,0.390831496,3,5-660,bean,5,Proto-Germanic,None,,5-660,5-660,1,bean,ben-e,beÌ„an,4
bear,5,Proto-Germanic,Proto-Germanic,2500,2500,bear,b8R,3,3.58,4.88,4.88,Noun,2,English,NA,3.450980392,0.390831496,3,3-730,bear,5,Proto-Germanic,None,,3-730,3-730,1,bear,ber-e,bera,4
road,5,Proto-Germanic,Proto-Germanic,2500,2500,road,r5d,3,4.55,5.28,4.75,Noun,2,English,NA,3.450980392,0.390831496,3,10-710,road,5,Proto-Germanic,None,,10-710,10-710,1,road,wei,weg,3
mainland,5,Proto-Germanic,Proto-Germanic,2500,2500,mainland,m1nl@nd,7,11.63,3.91,4.31,Noun,10,English,NA,3.450980392,0.009532476,7,1-260,mainland,5,Proto-Germanic,None,,1-260,1-260,1,mainland,main-lond,Î¸Ã_t maÌ„re land,11
shears,5,Proto-Germanic,Proto-Germanic,2500,2500,shears,S7z,3,9.46,2.94,4.61,Noun,4,English,NA,3.450980392,0.390831496,3,9-240,shears,5,Proto-Germanic,None,,9-240,9-240,1,scissors,cisours,sceÌ„ar(a),6
board,5,Proto-Germanic,Proto-Germanic,2500,2500,board,b$d,3,6.37,5.1,4.57,Noun,2,English,NA,3.450980392,0.390831496,3,7-570,board,5,Proto-Germanic,None,,7-570,7-570,1,board,bord,bord,4
tin,5,Proto-Germanic,1795,2500,205,tin,tIn,3,6.79,4.35,4.87,Noun,2,English,NA,3.450980392,0.390831496,3,23-540,tin,5,1795,None,,9-690,9-690,1,tin,tin,tin,3
tap,5,Proto-Germanic,Proto-Germanic,2500,2500,tap,t{p,3,5.84,4.33,4.29,Noun,2,English,NA,3.450980392,0.390831496,3,23-500,tap,5,Proto-Germanic,None,,,,,,,,
womb,5,Proto-Germanic,Proto-Germanic,2500,2500,womb,wum,3,9.48,3.46,4.37,Noun,10,English,NA,3.450980392,0.390831496,3,4-470,womb,5,Proto-Germanic,None,,4-470,4-470,1,womb,womb-e,hrif,4
witness,5,Proto-Germanic,Proto-Germanic,2500,2500,witness,wItnIs,6,8.74,4.28,4.07,Noun,4,English,NA,3.450980392,0.009532476,6,21-230,witness,5,Proto-Germanic,None,,21-230,21-230,1,witness,witnes-se,gewita,6
wrist,5,Proto-Germanic,Proto-Germanic,2500,2500,wrist,rIst,4,5.94,3.84,4.93,Noun,2,English,NA,3.450980392,0.324104167,4,4-321,wrist,5,Proto-Germanic,None,,4-321,4-321,1,wrist,wrist-e,handwryst,9
heel,5,Proto-Germanic,Proto-Germanic,2500,2500,heel,hil,3,7.85,3.81,4.86,Noun,2,English,NA,3.450980392,0.390831496,3,4-372,heel,5,Proto-Germanic,None,,4-372,4-372,1,heel,hele,fiersn,6
elf,5,Proto-Germanic,Proto-Germanic,2500,2500,elf,Elf,3,4.32,3.25,4.3,Noun,4,English,NA,3.450980392,0.390831496,3,22-440,elf,5,Proto-Germanic,None,,22-440,22-440,1,fairy,elf,Ã_lf,3
groan,5,Proto-Germanic,Proto-Germanic,2500,2500,groan,gr5n,4,8.7,3.04,4.09,Noun,2,English,NA,3.450980392,0.324104167,4,16-390,groan,5,Proto-Germanic,None,,16-390,16-390,1,groan,gronen,siÌ„can,5
bull,5,Proto-Germanic,Proto-Germanic,2500,2500,bull,bUl,3,4.53,4.28,4.85,Noun,2,English,NA,3.450980392,0.390831496,3,3-210,bull,5,Proto-Germanic,None,,3-210,3-210,1,bull,bole,fearr,5
deer,5,Proto-Germanic,Proto-Germanic,2500,2500,deer,d7R,3,5.17,4.26,4.86,Noun,2,English,NA,3.450980392,0.390831496,3,3-750,deer,5,Proto-Germanic,None,,3-750,3-750,1,deer,hert,heorot,6
bone,5,Proto-Germanic,Proto-Germanic,2500,2500,bone,b5n,3,5.53,4.51,4.9,Noun,4,English,NA,3.450980392,0.390831496,3,4-160,bone,5,Proto-Germanic,None,,4-160,4-160,1,bone,bon,baÌ„n,3
hip,5,Proto-Germanic,Proto-Germanic,2500,2500,hip,hIp,3,6.17,4.37,4.21,Noun,4,English,NA,3.450980392,0.390831496,3,4-463,hip,5,Proto-Germanic,None,,4-463,4-463,1,hip,hipe,hype,4
hat,5,Proto-Germanic,Proto-Germanic,2500,2500,hat,h{t,3,3.33,4.76,4.88,Noun,2,English,NA,3.450980392,0.390831496,3,6-550,hat,5,Proto-Germanic,None,,6-550,6-550,1,hat,hat,hÃ_tt,4
shoulder,5,Proto-Germanic,Proto-Germanic,2500,2500,shoulder,S5ld@R,6,4.5,4.46,4.93,Noun,2,English,NA,3.450980392,0.009532476,6,4-300,shoulder,5,Proto-Germanic,None,,4-300,4-300,1,shoulder,shulder,eaxl,4
hay,5,Proto-Germanic,Proto-Germanic,2500,2500,hay,h1,2,5.32,4.06,4.87,Noun,2,English,NA,3.450980392,0.142987133,2,8-520,hay,5,Proto-Germanic,None,,8-520,8-520,1,hay,hei,hiÌ„eg,4
land,5,Proto-Germanic,1300,2500,700,land,l{nd,4,5.22,5.18,4.57,Noun,2,English,NA,3.450980392,0.324104167,4,10-920,land,5,1300,None,,10-920,10-920,1,land,londen,lendan,6
