"","X.3","X.2","word","borrowing","age_oldest","age_youngest","age_oldest_num","age_youngest_num","word.1","phonology","phonlength","AoA","subtlexzipf","conc","cat","nounornot","verbornot","adjornot","advornot","pronounornot","functionornot","numberornot","X","X.1","AoA_obj","source.language","source.word"
"333",333,333,"spear",5,"Proto-Germanic","Proto-Germanic","2500","2500","spear","sp7R",4,"7.22","3.42","5.00","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"334",334,334,"midday",5,"Proto-Germanic","Proto-Germanic","2500","2500","midday","mIdd1",5,"7.37","3.64","3.72","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"335",335,335,"king",5,"Proto-Germanic","Proto-Germanic","2500","2500","king","kIN",3,"5.42","5.09","4.10","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"336",336,336,"sink",5,"Proto-Germanic","1566","2500","434","sink","sINk",4,"4.47","4.26","4.74","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"337",337,337,"house",5,"Proto-Germanic","Proto-Germanic","2500","2500","house","h6z",3,"3.16","5.83","5.00","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"338",338,338,"lung",5,"Proto-Germanic","Proto-Germanic","2500","2500","lung","lVN",3,"7.16","3.81","4.82","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"339",339,339,"tree",5,"Proto-Germanic","Proto-Germanic","2500","2500","tree","tri",3,"3.57","4.95","5.00","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"340",340,340,"dye",5,"Proto-Germanic","Proto-Germanic","2500","2500","dye","d2",2,"7.56","3.49","4.58","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"341",341,341,"axe",5,"Proto-Germanic","Proto-Germanic","2500","2500","axe","{ks",3,"6.11","3.85","5.00","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"342",342,342,"life",5,"Proto-Germanic","Proto-Germanic","2500","2500","life","l2f",3,"5.89","5.81","2.69","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"343",343,343,"hair",5,"Proto-Germanic","Proto-Germanic","2500","2500","hair","h8R",3,"3.17","5.03","4.97","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"344",344,344,"stepfather",5,"Proto-Germanic","Proto-Germanic","2500","2500","stepfather","stEpf#D@R",9,"8.42","2.99","4.00","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"345",345,345,"stepmother",5,"Proto-Germanic","Proto-Germanic","2500","2500","stepmother","stEpmVD@R",9,"6.33","2.96","4.23","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"346",346,346,"dew",5,"Proto-Germanic","Proto-Germanic","2500","2500","dew","dju",3,"7.37","3.09","4.38","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"347",347,347,"west",5,"Proto-Germanic","Proto-Germanic","2500","2500","west","wEst",4,"5.89","5.29","3.44","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"348",348,348,"yolk",5,"Proto-Germanic","Proto-Germanic","2500","2500","yolk","j5k",3,"5.89","3.52","4.78","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"349",349,349,"elbow",5,"Proto-Germanic","Proto-Germanic","2500","2500","elbow","Elb5",4,"4.78","3.85","5.00","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"350",350,350,"breast",5,"Proto-Germanic","Proto-Germanic","2500","2500","breast","brEst",5,"6.60","4.19","4.89","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"351",351,351,"rafter",5,"Proto-Germanic","Proto-Germanic","2500","2500","rafter","r#ft@R",6,"10.74","2.36","4.97","Noun",1,0,0,0,0,0,0,NA,NA,8,NA,NA
"352",352,352,"buttocks",5,"Proto-Germanic","Proto-Germanic","2500","2500","buttocks","bVt@ks",6,"7.72","3.08","4.83","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"353",353,353,"rope",5,"Proto-Germanic","Proto-Germanic","2500","2500","rope","r5p",3,"5.44","4.30","4.93","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"354",354,354,"chin",5,"Proto-Germanic","Proto-Germanic","2500","2500","chin","JIn",3,"4.22","3.93","4.89","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"355",355,355,"web",5,"Proto-Germanic","Proto-Germanic","2500","2500","web","wEb",3,"5.37","4.17","4.37","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"356",356,356,"steam",5,"Proto-Germanic","Proto-Germanic","2500","2500","steam","stim",4,"6.26","4.39","4.50","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"357",357,357,"wound",5,"Proto-Germanic","Proto-Germanic","2500","2500","wound","w6nd",4,"7.52","4.10","4.24","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"358",358,358,"way",5,"Proto-Germanic","Proto-Germanic","2500","2500","way","w1",2,"5.39","6.12","2.34","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"359",359,359,"south",5,"Proto-Germanic","Proto-Germanic","2500","2500","south","s6T",3,"6.06","5.36","3.84","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"360",360,360,"hell",5,"Proto-Germanic","Proto-Germanic","2500","2500","hell","hEl",3,"5.11","4.89","2.41","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"361",361,361,"weapons",5,"Proto-Germanic","Proto-Germanic","2500","2500","weapons","wEp@nz",6,"6.95","4.38","4.76","Noun",1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"362",362,362,"sword",5,"Proto-Germanic","Proto-Germanic","2500","2500","sword","s$d",3,"5.45","4.09","4.93","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"363",363,363,"wife",5,"Proto-Germanic","Proto-Germanic","2500","2500","wife","w2f",3,"5.67","5.15","4.13","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"364",364,364,"throat",5,"Proto-Germanic","Proto-Germanic","2500","2500","throat","Tr5t",4,"5.09","4.16","4.97","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"365",365,365,"lamb",5,"Proto-Germanic","Proto-Germanic","2500","2500","lamb","l{m",3,"4.15","4.61","4.97","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"366",366,366,"tail",5,"Proto-Germanic","Proto-Germanic","2500","2500","tail","t1l",3,"3.70","4.45","4.96","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"367",367,367,"stone",5,"Proto-Germanic","Proto-Germanic","2500","2500","stone","st5n",4,"4.44","4.84","4.72","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"368",368,368,"storm",5,"Proto-Germanic","Proto-Germanic","2500","2500","storm","st$m",4,"4.94","4.46","4.70","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"369",369,369,"friend",5,"Proto-Germanic","Proto-Germanic","2500","2500","friend","frEnd",5,"3.57","5.29","3.07","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"370",370,370,"braid",5,"Proto-Germanic","Proto-Germanic","2500","2500","braid","br1d",4,"7.22","2.59","4.38","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"371",371,371,"duck",5,"Proto-Germanic","Proto-Germanic","2500","2500","duck","dVk",3,"3.50","4.53","4.86","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"372",372,372,"rib",5,"Proto-Germanic","Proto-Germanic","2500","2500","rib","rIb",3,"6.30","3.52","4.90","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"373",373,373,"dust",5,"Proto-Germanic","Proto-Germanic","2500","2500","dust","dVst",4,"5.06","4.39","4.40","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"374",374,374,"ram",5,"Proto-Germanic","Proto-Germanic","2500","2500","ram","r{m",3,"8.32","3.65","4.55","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"375",375,375,"ship",5,"Proto-Germanic","Proto-Germanic","2500","2500","ship","SIp",3,"5.33","4.77","4.87","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"376",376,376,"shit",5,"Proto-Germanic","Proto-Germanic","2500","2500","shit","SIt",3,"6.53","4.68","4.33","Noun",1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"377",377,377,"rain",5,"Proto-Germanic","Proto-Germanic","2500","2500","rain","r1n",3,"3.60","5.08","4.97","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"378",378,378,"snake",5,"Proto-Germanic","Proto-Germanic","2500","2500","snake","sn1k",4,"5.10","4.36","5.00","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"379",379,379,"thing",5,"Proto-Germanic","Proto-Germanic","2500","2500","thing","TIN",3,"4.58","5.94","3.17","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"380",380,380,"heaven",5,"Proto-Germanic","Proto-Germanic","2500","2500","heaven","hEvH",4,"4.22","4.60","1.81","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"381",381,381,"belly",5,"Proto-Germanic","Proto-Germanic","2500","2500","belly","bElI",4,"4.05","4.08","4.80","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"382",382,382,"north",5,"Proto-Germanic","Proto-Germanic","2500","2500","north","n$T",3,"6.55","5.32","4.14","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"383",383,383,"miss",5,"Proto-Germanic","Proto-Germanic","2500","2500","miss","mIs",3,"6.33","5.21","2.54","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"384",384,384,"waist",5,"Proto-Germanic","Proto-Germanic","2500","2500","waist","w1st",4,"6.42","3.71","4.72","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"385",385,385,"foal",5,"Proto-Germanic","Proto-Germanic","2500","2500","foal","f5l",3,"8.44","3.15","4.32","Noun",1,0,0,0,0,0,0,NA,NA,12,NA,NA
"386",386,386,"shield",5,"Proto-Germanic","Proto-Germanic","2500","2500","shield","Sild",4,"6.50","3.80","4.66","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"387",387,387,"neighbour",5,"Proto-Germanic","Proto-Germanic","2500","2500","neighbour","n1b@R",5,"5.06","4.24","4.64","Noun",1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"388",388,388,"stepson",5,"Proto-Germanic","Proto-Germanic","2500","2500","stepson","stEpsVn",7,"7.94","2.70","3.68","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"389",389,389,"drink",5,"Proto-Germanic","Proto-Germanic","2500","2500","drink","drINk",5,"3.47","5.06","4.76","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"390",390,390,"horse",5,"Proto-Germanic","Proto-Germanic","2500","2500","horse","h$s",3,"4.15","4.99","5.00","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"391",391,391,"god",5,"Proto-Germanic","Proto-Germanic","2500","2500","god","gQd",3,"4.35","5.38","2.07","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"392",392,392,"hand",5,"Proto-Germanic","Proto-Germanic","2500","2500","hand","h{nd",4,"2.74","5.44","4.72","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"393",393,393,"whetstone",5,"Proto-Germanic","Proto-Germanic","2500","2500","whetstone","wEtst5n",7,"12.80","1.81","4.68","Noun",1,0,0,0,0,0,0,NA,NA,12,NA,NA
"394",394,394,"thread",5,"Proto-Germanic","Proto-Germanic","2500","2500","thread","TrEd",4,"7.06","3.74","4.83","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"395",395,395,"spoon",5,"Proto-Germanic","Proto-Germanic","2500","2500","spoon","spun",4,"2.50","4.29","4.96","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"396",396,396,"embers",5,"Proto-Germanic","Proto-Germanic","2500","2500","embers","Emb@z",5,"10.50","2.73","4.36","Noun",1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"397",397,397,"bead",5,"Proto-Germanic","Proto-Germanic","2500","2500","bead","bid",3,"5.63","2.93","4.90","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"398",398,398,"beam",5,"Proto-Germanic","Proto-Germanic","2500","2500","beam","bim",3,"8.78","3.97","3.96","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"399",399,399,"bean",5,"Proto-Germanic","Proto-Germanic","2500","2500","bean","bin",3,"3.42","4.06","5.00","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"400",400,400,"bear",5,"Proto-Germanic","Proto-Germanic","2500","2500","bear","b8R",3,"3.58","4.88","4.88","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"401",401,401,"road",5,"Proto-Germanic","Proto-Germanic","2500","2500","road","r5d",3,"4.55","5.28","4.75","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"402",402,402,"mainland",5,"Proto-Germanic","Proto-Germanic","2500","2500","mainland","m1nl@nd",7,"11.63","3.91","4.31","Noun",1,0,0,0,0,0,0,NA,NA,10,NA,NA
"403",403,403,"shears",5,"Proto-Germanic","Proto-Germanic","2500","2500","shears","S7z",3,"9.46","2.94","4.61","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"404",404,404,"board",5,"Proto-Germanic","Proto-Germanic","2500","2500","board","b$d",3,"6.37","5.10","4.57","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"405",405,405,"tin",5,"Proto-Germanic","1795","2500","205","tin","tIn",3,"6.79","4.35","4.87","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"406",406,406,"tap",5,"Proto-Germanic","Proto-Germanic","2500","2500","tap","t{p",3,"5.84","4.33","4.29","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"407",407,407,"womb",5,"Proto-Germanic","Proto-Germanic","2500","2500","womb","wum",3,"9.48","3.46","4.37","Noun",1,0,0,0,0,0,0,NA,NA,10,NA,NA
"408",408,408,"witness",5,"Proto-Germanic","Proto-Germanic","2500","2500","witness","wItnIs",6,"8.74","4.28","4.07","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"409",409,409,"wrist",5,"Proto-Germanic","Proto-Germanic","2500","2500","wrist","rIst",4,"5.94","3.84","4.93","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"410",410,410,"heel",5,"Proto-Germanic","Proto-Germanic","2500","2500","heel","hil",3,"7.85","3.81","4.86","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"411",411,411,"elf",5,"Proto-Germanic","Proto-Germanic","2500","2500","elf","Elf",3,"4.32","3.25","4.30","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"412",412,412,"groan",5,"Proto-Germanic","Proto-Germanic","2500","2500","groan","gr5n",4,"8.70","3.04","4.09","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"413",413,413,"bull",5,"Proto-Germanic","Proto-Germanic","2500","2500","bull","bUl",3,"4.53","4.28","4.85","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"414",414,414,"deer",5,"Proto-Germanic","Proto-Germanic","2500","2500","deer","d7R",3,"5.17","4.26","4.86","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"415",415,415,"bone",5,"Proto-Germanic","Proto-Germanic","2500","2500","bone","b5n",3,"5.53","4.51","4.90","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"416",416,416,"hip",5,"Proto-Germanic","Proto-Germanic","2500","2500","hip","hIp",3,"6.17","4.37","4.21","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"417",417,417,"hat",5,"Proto-Germanic","Proto-Germanic","2500","2500","hat","h{t",3,"3.33","4.76","4.88","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"418",418,418,"shoulder",5,"Proto-Germanic","Proto-Germanic","2500","2500","shoulder","S5ld@R",6,"4.50","4.46","4.93","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"419",419,419,"hay",5,"Proto-Germanic","Proto-Germanic","2500","2500","hay","h1",2,"5.32","4.06","4.87","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"420",420,420,"land",5,"Proto-Germanic","1300","2500","700","land","l{nd",4,"5.22","5.18","4.57","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"421",421,421,"bow",5,"Proto-Germanic","Proto-Germanic","2500","2500","bow","b5",2,"4.95","4.22","4.61","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"422",422,422,"meat",5,"Proto-Germanic","Proto-Germanic","2500","2500","meat","mit",3,"4.42","4.80","4.90","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"423",423,423,"yard",5,"Proto-Germanic","Proto-Germanic","2500","2500","yard","j#d",3,"3.94","4.33","4.82","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"424",424,424,"mare",5,"Proto-Germanic","Proto-Germanic","2500","2500","mare","m#r1",4,"8.84","3.65","4.75","Noun",1,0,0,0,0,0,0,NA,NA,6,NA,NA
"425",425,425,"crow",5,"Proto-Germanic","Proto-Germanic","2500","2500","crow","kr5",3,"5.74","3.65","4.93","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"426",426,426,"louse",5,"Proto-Germanic","Proto-Germanic","2500","2500","louse","l6s",3,"10.26","2.67","#N/A","Noun",1,0,0,0,0,0,0,NA,NA,6,NA,NA
"427",427,427,"nettle",5,"Proto-Germanic","Proto-Germanic","2500","2500","nettle","nEtP",4,"14.33","3.08","3.88","Noun",1,0,0,0,0,0,0,NA,NA,12,NA,NA
"428",428,428,"dove",5,"Proto-Germanic","Proto-Germanic","2500","2500","dove","d5v",3,"6.63","3.46","4.88","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"429",429,429,"fear",5,"Proto-Germanic","Proto-Germanic","2500","2500","fear","f7R",3,"4.79","4.84","2.57","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"430",430,430,"oak",5,"Proto-Germanic","Proto-Germanic","2500","2500","oak","5k",2,"7.35","4.23","4.82","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"431",431,431,"flesh",5,"Proto-Germanic","Proto-Germanic","2500","2500","flesh","flES",4,"8.30","4.15","4.59","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"432",432,432,"ice",5,"Proto-Germanic","Proto-Germanic","2500","2500","ice","2s",2,"3.86","4.98","4.89","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"433",433,433,"oar",5,"Proto-Germanic","Proto-Germanic","2500","2500","oar","$R",2,"5.83","3.03","4.84","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"434",434,434,"thigh",5,"Proto-Germanic","Proto-Germanic","2500","2500","thigh","T2",2,"6.42","3.48","4.90","Noun",1,0,0,0,0,0,0,NA,NA,6,NA,NA
"435",435,435,"wave",5,"Proto-Germanic","Proto-Germanic","2500","2500","wave","w1v",3,"4.26","4.55","4.55","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"436",436,436,"leaf",5,"Proto-Germanic","Proto-Germanic","2500","2500","leaf","lif",3,"4.60","4.29","5.00","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"437",437,437,"honey",5,"Proto-Germanic","Proto-Germanic","2500","2500","honey","hVnI",4,"5.44","4.60","4.88","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"438",438,438,"barley",5,"Proto-Germanic","Proto-Germanic","2500","2500","barley","b#lI",4,"9.80","3.61","4.59","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"439",439,439,"frog",5,"Proto-Germanic","Proto-Germanic","2500","2500","frog","frQg",4,"4.32","4.05","5.00","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"440",440,440,"teat",5,"Proto-Germanic","Proto-Germanic","2500","2500","teat","tit",3,"11.94","2.71","4.38","Noun",1,0,0,0,0,0,0,NA,NA,12,NA,NA
"441",441,441,"flea",5,"Proto-Germanic","Proto-Germanic","2500","2500","flea","fli",3,"7.79","3.50","4.89","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"442",442,442,"wheat",5,"Proto-Germanic","Proto-Germanic","2500","2500","wheat","wit",3,"6.53","3.95","4.89","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"443",443,443,"bread",5,"Proto-Germanic","Proto-Germanic","2500","2500","bread","brEd",4,"3.58","4.69","4.92","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"444",444,444,"song",5,"Proto-Germanic","Proto-Germanic","2500","2500","song","sQN",3,"4.26","5.10","4.46","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"445",445,445,"guts",5,"Proto-Germanic","Proto-Germanic","2500","2500","guts","gVts",4,"6.96","3.92","3.85","Noun",1,0,0,0,0,0,0,NA,NA,4,NA,NA
"446",446,446,"side",5,"Proto-Germanic","Proto-Germanic","2500","2500","side","s2d",3,"4.72","5.55","3.68","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"447",447,447,"hawk",5,"Proto-Germanic","Proto-Germanic","2500","2500","hawk","h$k",3,"6.74","3.66","4.93","Noun",1,0,0,0,0,0,0,NA,NA,2,NA,NA
"448",448,448,"twelve",5,"Proto-Germanic","Proto-Germanic","2500","2500","twelve","twElv",5,"4.48","3.66","3.61","Number",0,0,0,0,0,0,1,NA,NA,4,NA,NA
"449",449,449,"next",5,"Proto-Germanic","Proto-Germanic","2500","2500","next","nEkst",5,"4.35","5.89","2.56","Number",0,0,0,0,0,0,1,NA,NA,2,NA,NA
"450",450,450,"under",5,"Proto-Germanic","Proto-Germanic","2500","2500","under","Vnd@R",5,"5.89","5.60","3.45","Preposition",0,0,0,0,0,1,0,NA,NA,2,NA,NA
"451",451,451,"through",5,"Proto-Germanic","Proto-Germanic","2500","2500","through","Tru",3,"5.82","5.94","2.90","Preposition",0,0,0,0,0,1,0,NA,NA,2,NA,NA
"452",452,452,"behind",5,"Proto-Germanic","Proto-Germanic","2500","2500","behind","bIh2nd",6,"4.90","5.42","3.48","Preposition",0,0,0,0,0,1,0,NA,NA,2,NA,NA
"453",453,453,"near",5,"Proto-Germanic","Proto-Germanic","2500","2500","near","n7R",3,"5.41","5.08","2.79","Preposition",0,0,0,0,0,1,0,NA,NA,2,NA,NA
"454",454,454,"nothing",5,"Proto-Germanic","Proto-Germanic","2500","2500","nothing","nVTIN",5,"5.21","5.64","2.21","Pronoun",0,0,0,0,1,0,0,NA,NA,2,NA,NA
"455",455,455,"who",5,"Proto-Germanic","Proto-Germanic","2500","2500","who","hu",2,"3.81","6.32","1.74","Pronoun",0,0,0,0,1,0,0,NA,NA,2,NA,NA
"456",456,456,"beget",5,"Proto-Germanic","Proto-Germanic","2500","2500","beget","bIgEt",5,"14.20","2.17","2.25","Verb",0,1,0,0,0,0,0,NA,NA,13,NA,NA
"457",457,457,"build",5,"Proto-Germanic","Proto-Germanic","2500","2500","build","bIld",4,"4.45","5.07","3.71","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"458",458,458,"threaten",5,"Proto-Germanic","Proto-Germanic","2500","2500","threaten","TrEtH",5,"8.95","3.77","2.63","Verb",0,1,0,0,0,0,0,NA,NA,6,NA,NA
"459",459,459,"shine",5,"Proto-Germanic","Proto-Germanic","2500","2500","shine","S2n",3,"5.79","4.34","3.85","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"460",460,460,"weep",5,"Proto-Germanic","Proto-Germanic","2500","2500","weep","wip",3,"8.50","3.40","4.54","Verb",0,1,0,0,0,0,0,NA,NA,4,NA,NA
"461",461,461,"bake",5,"Proto-Germanic","Proto-Germanic","2500","2500","bake","b1k",3,"5.50","4.22","4.21","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"462",462,462,"dribble",5,"Proto-Germanic","Proto-Germanic","2500","2500","dribble","drIbP",5,"6.50","3.18","3.83","Verb",0,1,0,0,0,0,0,NA,NA,6,NA,NA
"463",463,463,"plough",5,"Proto-Germanic","Proto-Germanic","2500","2500","plough","pl6",3,"7.11","3.64","3.88","Verb",0,1,0,0,0,0,0,NA,NA,8,NA,NA
"464",464,464,"write",5,"Proto-Germanic","Proto-Germanic","2500","2500","write","r2t",3,"4.89","4.89","4.22","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"465",465,465,"become",5,"Proto-Germanic","Proto-Germanic","2500","2500","become","bIkVm",5,"5.85","5.28","1.54","Verb",0,1,0,0,0,0,0,NA,NA,4,NA,NA
"466",466,466,"wipe",5,"Proto-Germanic","Proto-Germanic","2500","2500","wipe","w2p",3,"4.83","4.00","4.00","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"467",467,467,"listen",5,"Proto-Germanic","Proto-Germanic","2500","2500","listen","lIsH",4,"5.40","5.25","3.47","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"468",468,468,"follow",5,"Proto-Germanic","Proto-Germanic","2500","2500","follow","fQl5",4,"5.11","4.96","3.26","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"469",469,469,"yawn",5,"Proto-Germanic","Proto-Germanic","2500","2500","yawn","j$n",3,"5.30","3.26","4.46","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"470",470,470,"send",5,"Proto-Germanic","Proto-Germanic","2500","2500","send","sEnd",4,"5.68","4.95","2.70","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"471",471,471,"whisper",5,"Proto-Germanic","Proto-Germanic","2500","2500","whisper","wIsp@R",6,"4.26","3.67","4.34","Verb",0,1,0,0,0,0,0,NA,NA,4,NA,NA
"472",472,472,"wake",5,"Proto-Germanic","Proto-Germanic","2500","2500","wake","w1k",3,"5.63","4.64","3.11","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"473",473,473,"wash",5,"Proto-Germanic","Proto-Germanic","2500","2500","wash","wQS",3,"4.00","4.54","4.35","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"474",474,474,"see",5,"Proto-Germanic","Proto-Germanic","2500","2500","see","si",2,"3.06","6.34","3.21","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"475",475,475,"float",5,"Proto-Germanic","Proto-Germanic","2500","2500","float","fl5t",4,"5.39","3.96","4.07","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"476",476,476,"hate",5,"Proto-Germanic","Proto-Germanic","2500","2500","hate","h1t",3,"5.53","4.81","1.97","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"477",477,477,"lose",5,"Proto-Germanic","Proto-Germanic","2500","2500","lose","luz",3,"5.78","5.11","2.25","Verb",0,1,0,0,0,0,0,NA,NA,4,NA,NA
"478",478,478,"saw",5,"Proto-Germanic","Proto-Germanic","2500","2500","saw","s$",2,"5.36","5.40","4.46","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"479",479,479,"lock",5,"Proto-Germanic","Proto-Germanic","2500","2500","lock","lQk",3,"5.74","4.42","4.65","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"480",480,480,"bathe",5,"Proto-Germanic","Proto-Germanic","2500","2500","bathe","b1D",3,"5.00","3.11","4.19","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"481",481,481,"spin",5,"Proto-Germanic","Proto-Germanic","2500","2500","spin","spIn",4,"5.00","4.41","3.90","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
"482",482,482,"open",5,"Proto-Germanic","Proto-Germanic","2500","2500","open","5p@n",4,"5.00","5.41","3.21","Verb",0,1,0,0,0,0,0,NA,NA,2,NA,NA
