Stimuli	AoA	SD		Stimuli	FreqSub	SD
flemme	10.40357143	2.423306376		flemme	5.178571429	1.516662306
fleur	4.139043382	1.353609273		fleur	4.821428571	1.306779231
fleuve	7.283648498	1.856693789		fleuve	3.535714286	0.999338405
flot	8.920238095	2.699723272		flot	2.964285714	0.881166855
flotte	7.896551724	3.237708854		flotte	3.75	1.174576362
flou	8.320238095	2.645534081		flou	3.964285714	1.104943198
fluide	11.33716475	2.568279407		fluide	3.857142857	1.177388375
flûte	6.739285714	2.019730265		flûte	3.642857143	1.253566341
flux	12.43214286	2.454411932		flux	3.75	1.236033081
foi	8.927380952	2.220334447		foi	3.892857143	1.227441957
foie	8.432703003	2.566952924		foie	3.714285714	1.212806444
foin	6.674082314	2.013929984		foin	3.464285714	0.922241346
foire	7.46051168	1.81747787		foire	3.428571429	0.959497223
fois	5.780867631	2.214322878		fois	4.785714286	1.750283424
folk	13.14048531	3.039963702		folk	4.75	1.993043457
fond	6.637374861	2.095566236		fond	3.928571429	1.385869734
fondre	7.172413793	2.352303835		fondre	4.642857143	1.311326321
fonte	10.60066741	3.12808987		fonte	3.285714286	0.937180281
foot	6.065628476	1.578075594		foot	3.821428571	1.334820599
force	6.492769744	2.268531807		force	4.857142857	1.380131119
forge	9.599555061	2.319158171		forge	3.857142857	1.268252975
forme	5.998809524	2.385058856		forme	3.928571429	1.585316219
fort	4.856321839	1.683250823		fort	5.5	1
fosse	9.957142857	1.882771252		fosse	4.285714286	1.560084111
fou	6.244716352	1.850312383		fou	4.178571429	1.362284884
foudre	7.482142857	1.960823191		foudre	4.25	1.481365736
fouet	7.496106785	1.70640791		fouet	3.357142857	1.061595086
fougue	11.6547619	2.951718767		fougue	3.392857143	1.13330999
fouille	8.210233593	2.454313736		fouille	3.571428571	1.03381965
fouine	8.478571429	2.799014605		fouine	3.214285714	0.956736074
foule	7.529477197	2.259032051		foule	3.857142857	0.970463261
four	5.31701891	1.869391253		four	4.75	1.109721353
fourbe	12.3202381	2.525502112		fourbe	3.964285714	1.621205378
fourche	7.427141268	1.960908282		fourche	3.464285714	1.201300001
frais	7.242491657	3.038463109		frais	3.928571429	1.561778934
fraise	4.318131257	2.077011915		fraise	4.535714286	1.426784597
franc	8.218020022	3.091785857		franc	4.178571429	1.218790275
frange	7.136818687	2.738416464		frange	4	1.305260014
frappe	6.741935484	2.755249145		frappe	4.5	1.232281834
fraude	12.07142857	2.171240593		fraude	4	1.247219129
frein	6.994438265	2.437167402		frein	4.071428571	0.978607152
frêle	11.56832695	2.967392579		frêle	3.571428571	1.168366109
frère	4.385984427	1.681653053		frère	4.357142857	1.61507449
fresque	10.9202381	3.359837161		fresque	4	1.699673171
frise	7.442857143	2.143152689		frise	3.035714286	0.83808171
frite	5.141268076	1.55680953		frite	3.75	1.004618962
froid	4.315906563	1.881431621		froid	5.178571429	1.248808956
front	5.066740823	2.448611632		front	4.75	1.578208079
frousse	8.544047619	2.648139664		frousse	4.071428571	1.303231637
fruit	7.057842047	11.21126546		fruit	4.392857143	1.707050428
fugue	10.42157953	1.820433601		fugue	4.285714286	1.410467295
fuir	7.889877642	2.257127302		fuir	3.785714286	1.315354983
fuite	7.641824249	1.909230549		fuite	3.928571429	1.245096201
fût	10.69761905	2.582879085		fût	4.142857143	1.238705588
gag	8.815350389	2.799385493		gag	3.642857143	1.223664373
gage	7.783092325	2.877424177		gage	3.214285714	0.875897121
gai	7.846496107	3.053290134		gai	4	0.942809042
gain	9.780867631	2.388142753		gain	4.035714286	1.07089934
gaine	10.99404762	2.792642221		gaine	2.928571429	1.152407188
gamme	9.253571429	2.85693349		gamme	3.857142857	1.044005311
gang	11.44047619	1.768173289		gang	3.392857143	1.030615987
gant	5.352614016	1.995155423		gant	3.5	0.881917104
garde	6.853170189	2.337630452		garde	4.5	1.347150628
gare	6.588095238	2.161310799		gare	4.75	1.040833
gauche	5.636262514	1.767082524		gauche	6	1.054092553
gaufre	6.210233593	2.521307051		gaufre	3.464285714	1.261455446
gaz	7.713014461	2.586981468		gaz	4.035714286	1.104943198
gel	7.705228031	2.766932232		gel	4.357142857	1.19301317
gendre	10.38709677	2.929273828		gendre	3.714285714	1.272418021
gène	11.35150167	3.166694963		gène	4.357142857	1.311326321
gêne	9.807142857	2.799014605		gêne	4.285714286	1.410467295
genre	8.607341491	2.092485274		genre	5.357142857	1.41981443
gens	5.847608454	2.262361503		gens	5.785714286	1.474653578
gerbe	10.99221357	2.813179428		gerbe	3.464285714	1.231745009
germe	10.65238095	2.778406059		germe	3.214285714	1.031257516
geste	6.995238095	2.063364065		geste	5.142857143	1.55668893
gifle	5.427141268	1.838068177		gifle	3.714285714	0.975900073
gîte	10.73333333	1.888866351		gîte	3.142857143	0.84827868
givre	9.385984427	3.02676235		givre	3	0.816496581
glace	4.424916574	1.620434032		glace	4.464285714	1.07089934
glaive	10.49333333	2.759598633		glaive	2.464285714	0.692934867
gland	8.568409344	2.942458923		gland	3.392857143	1.065947178
glande	12.36428571	1.864366399		glande	3.857142857	1.238705588
glauque	13.02892102	2.757979625		glauque	3.5	1
glisse	6.391546162	2.640055392		glisse	3.857142857	1.145499591
globe	7.817857143	1.748891274		globe	3.357142857	1.223664373
gloire	9.775305895	2.263786912		gloire	3.785714286	0.956736074
glotte	12.06868132	3.270033898		glotte	2.571428571	1.069044968
goinfre	8.420178799	2.819268675		goinfre	3.928571429	1.412341671
golf	8.882091212	2.202637715		golf	3.035714286	0.881166855
golfe	10.65238095	2.740920225		golfe	3.392857143	1.474205014
gomme	5.706340378	2.063507818		gomme	4.607142857	1.13330999
gond	11.325	3.111159003		gond	2.75	1.040833
gorge	5.746384872	2.042031457		gorge	4.428571429	1.230133128
gosse	7.426028921	2.601901703		gosse	4.571428571	1.596954774
gouffre	9.639599555	2.540849066		gouffre	3.321428571	1.020296668
gourde	7.459399333	2.022986188		gourde	3.464285714	1.170063083
gousse	9.997619048	2.347901974		gousse	3.178571429	1.090483122
goût	5.56618465	1.910919387		goût	5.107142857	1.370030703
goutte	6.313681869	1.98921825		goutte	4.571428571	1.168366109
grâce	8.775305895	2.755249145		grâce	5.607142857	1.547741143
grade	10.70189099	2.787452685		grade	3.25	0.967049733
grain	6.389321468	2.036230969		grain	3.714285714	0.854493259
graine	5.848720801	1.94383503		graine	3.5	0.962250449
graisse	8.066666667	2.046583921		graisse	4.571428571	1.199647214
gramme	8.100111235	2.119038126		gramme	4.678571429	1.248808956
grand	4.068965517	1.712697677		grand	5.535714286	1.290482048
grange	7.209121246	2.862813114		grange	3.285714286	0.937180281
grappe	7.692857143	2.567703925		grappe	3.464285714	0.881166855
gras	7.032258065	2.20507723		gras	4.857142857	1.007905261
gratte	5.923248053	2.753297144		gratte	4.535714286	1.346659595
grave	6.17352614	2.359150567		grave	5.5	1.478237188
gré	11.34355045	2.671229676		gré	3.321428571	1.278122797
grec	9.623809524	1.736689942		grec	3.107142857	1.100144291
greffe	11.74082314	2.501612383		greffe	3.571428571	0.878912267
grêle	7.701190476	2.73525304		grêle	3	0.7200823
grès	12.32261905	2.760351469		grès	3.392857143	1.39680285
grève	10.38598443	2.574481888		grève	4.107142857	1.165532328
griffe	5.674082314	1.946598909		griffe	3.928571429	1.08622934
grill	9.245238095	3.093188661		grill	3.535714286	0.999338405
grille	7.208008899	2.469600116		grille	4.035714286	1.104943198
grippe	7.171301446	2.316374624		grippe	3.678571429	0.983326607
gris	4.853170189	1.692488147		gris	4.642857143	1.28277147
grogne	8.029761905	3.174068784		grogne	3.464285714	1.201300001
gros	4.713014461	1.640875717		gros	5.392857143	1.227441957
grotte	7.003337041	2.181052326		grotte	3.142857143	1.177388375
groupe	6.314794216	2.24710088		groupe	5.428571429	1.168366109
grue	7.106785317	2.586565789		grue	3.214285714	0.956736074
guêpe	5.637374861	2.063507818		guêpe	3.178571429	0.722832465
guère	10.17738095	2.51181118		guère	3.75	1.377732974
guerre	6.925472747	2.099154976		guerre	4.392857143	1.286375491
guêtre	11.6025641	3.276959191		guêtre	2.321428571	0.818923025
gueule	6.848720801	2.431425088		gueule	5.535714286	1.201300001
guide	8.458286986	1.98651367		guide	4.107142857	1.065947178
gym	7.102335929	1.797848176		gym	4.142857143	1.078898125
hache	6.852057842	2.268531807		hache	3.214285714	1.100745298
haie	7.885714286	2.219039867		haie	3.25	1.040833
haine	9.560622914	2.695276633		haine	4.107142857	1.314852075
hâle	12.38301282	2.298159799		hâle	2.75	1.075828707
hall	9.17352614	2.834123862		hall	4.321428571	1.306779231
halle	10.16907675	2.724638676		halle	3.857142857	1.353029132
halte	10.1452381	2.476556749		halte	3.357142857	1.28277147
hanche	8.136781609	2.579539298		hanche	3.964285714	1.137969044
hargne	11.9547619	2.196130348		hargne	2.928571429	0.813250061
harpe	9.101223582	2.279407582		harpe	2.821428571	0.772373515
hâte	9.850945495	2.534917445		hâte	4.321428571	1.516662306
hausse	9.516666667	2.285385855		hausse	4.928571429	1.331347728
haut	4.748609566	1.677171198		haut	5.75	1.109721353
havre	12.20355951	2.890845767		havre	2.892857143	0.916486274
herbe	4.744160178	1.765865105		herbe	4.321428571	1.090483122
hertz	12.88876529	1.745655129		hertz	2.75	0.887151079
heure	5.921023359	2.208974851		heure	6.25	1.404358296
hier	5.219047619	1.382983615		hier	6.321428571	0.862965234
homme	4.716351502	1.70703793		homme	5.857142857	1.112697281
honte	7.463848721	2.566952924		honte	4.928571429	1.331347728
hors	8.923248053	2.836778424		hors	5.571428571	1.317364693
hôte	10.42157953	2.552249693		hôte	3.142857143	1.208435956
hotte	6.722860792	2.572112662		hotte	3.285714286	1.181873681
houle	12.66133005	2.261805373		houle	2.428571429	0.959497223
housse	9.179087875	2.574481888		housse	3.821428571	1.278122797
houx	8.147619048	2.775922752		houx	2.5	0.693888666
huile	8.52836485	10.79934287		huile	4.642857143	1.161553421
huit	4.709677419	1.4088812		huit	5.142857143	1.508354161
huître	8.103448276	2.532546762		huître	2.964285714	1.104943198
humble	11.27884615	1.878237945		humble	3.5	1.071516751
hutte	9.100111235	2.662765964		hutte	2.642857143	0.731020885
hyène	9.457174638	2.682880814		hyène	2.607142857	0.875141712
hymne	10.06785714	2.720927834		hymne	3.357142857	1.253566341
il	4.35483871	1.57466501		il	6.928571429	0.262265264
île	6.385984427	1.956516545		île	3.285714286	1.11744228
ivre	9.675194661	2.790151651		ivre	3.857142857	0.970463261
jambe	4.137931034	1.751190072		jambe	5.25	1.1426091
jarre	10.74972191	2.32332724		jarre	2.642857143	1.026114055
jauge	11.98901099	2.579938886		jauge	3.142857143	0.931517508
jaune	3.816462736	1.446538322		jaune	4.535714286	1.574851971
jazz	9.886540601	2.635571391		jazz	3.607142857	1.065947178
je	3.709677419	1.803222921		je	6.785714286	0.786795792
jean	7.988876529	2.675656888		jean	5.357142857	1.12921755
jet	9.312569522	3.385611554		jet	3.464285714	1.231745009
jeu	4.208008899	1.888277363		jeu	5.107142857	1.100144291
jeune	6.52836485	2.039396917		jeune	5.321428571	1.218790275
jeûne	10.58333333	2.440086676		jeûne	3.5	1.261979632
job	11.66740823	2.456941013		job	4.785714286	1.166099635
joie	6.640711902	1.910919387		joie	4.642857143	1.12921755
joindre	9.318131257	2.15576247		joindre	4.464285714	0.922241346
joint	10.42380423	3.206176834		joint	4.285714286	1.436486012
jouable	10.21583653	3.444135445		jouable	3.785714286	0.875897121
joue	4.421579533	2.305206823		joue	5.035714286	1.318869967
joué	4.640711902	1.607776799		joué	4.642857143	1.253566341
jouer	3.889877642	1.833382209		jouer	5.035714286	1.400585667
jouet	3.745272525	1.70640791		jouet	4.678571429	1.306779231
joueur	6.17352614	2.136724455		joueur	4.392857143	1.030615987
jouir	12.81071429	2.036731662		jouir	4.357142857	1.095928009
jour	4.745272525	1.686760591		jour	6.107142857	1.165532328
joute	15.45352564	17.59619714		joute	2.571428571	0.959497223
juge	9.098998888	2.432309403		juge	4	1.217161239
juin	5.994438265	1.790656755		juin	3.714285714	1.150109266
jungle	6.49054505	2.777404993		jungle	3	1.018350154
jupe	4.886540601	2.003223209		jupe	4.607142857	1.165532328
jus	5.209121246	1.965290205		jus	5.5	1.03637545
jusque	7.171301446	1.834554823		jusque	6.321428571	0.944911183
juste	5.957730812	1.70703793		juste	5.928571429	1.331347728
kilt	10.80952381	2.309401077		kilt	2.642857143	0.869835477
kiosque	9.848720801	2.445096036		kiosque	3.892857143	1.065947178
kit	11.81226054	2.389426627		kit	3.857142857	1.238705588
la	4.101223582	1.982178665		la	6.892857143	0.314970394
là	5.467185762	2.447293875		là	6.714285714	0.809990528
lac	6.171301446	2.243269503		lac	3.357142857	1.095928009
lâche	9.599555061	2.740771416		lâche	3.964285714	1.373887236
laid	7.371428571	2.222145593		laid	4.357142857	1.223664373
laine	6.385984427	1.973480088		laine	3.714285714	0.975900073
laisse	5.707452725	1.912606733		laisse	5.785714286	1.44932022
lait	4.137931034	1.897366596		lait	5.535714286	1.137969044
lame	7.536151279	2.307071877		lame	3.892857143	1.13330999
lampe	4.888765295	1.627056185		lampe	5.25	1.530553035
lance	6.955506118	2.340848114		lance	4.25	1.456149158
langue	4.459399333	1.989758725		langue	4.821428571	1.188013325
laque	9.35483871	2.71039417		laque	3.535714286	1.137969044
lard	9.033333333	3.600127712		lard	3.535714286	1.231745009
large	6.854282536	1.820433601		large	4.892857143	1.474205014
larme	5.993325918	2.400268802		larme	4.392857143	1.314852075
larve	9.028921023	2.296327128		larve	2.892857143	0.628890011
las	11.24249166	1.940513179		las	3.214285714	1.44932022
latte	10.0702381	2.999808423		latte	2.964285714	0.881166855
lave	7.245828699	2.473080879		lave	4.214285714	1.618347187
le	4.072302558	1.599058863		le	6.928571429	0.262265264
lent	6.352614016	2.171169845		lent	4.928571429	1.463850109
lente	6.740823137	2.204101748		lente	4.785714286	1.370513363
lèpre	11.35150167	2.508908858		lèpre	2.464285714	0.576203594
les	4.601779755	2.046765085		les	6.678571429	1.055973184
lettre	5.456062291	1.726454506		lettre	4.964285714	1.502643174
leur	6.13570634	2.128152311		leur	6.607142857	0.737326789
leurre	12.38375973	2.837157445		leurre	3.25	0.887151079
lèvre	5.106785317	1.700094874		lèvre	4.821428571	1.055973184
liane	8.032258065	2.594037829		liane	2.714285714	0.534522484
liasse	10.13793103	2.049390153		liasse	3.214285714	1.227980663
libre	7.783092325	2.163231354		libre	4.75	1.481365736
lie	10.31043956	3.547858733		lie	3	1.247219129
lié	8.745272525	2.836399353		lié	4.571428571	1.42539329
liège	9.001112347	2.469600116		liège	3.285714286	0.76289618
lien	8.03192848	2.199417747		lien	4.928571429	1.245096201
liesse	12.15833333	3.149073938		liesse	2.678571429	0.983326607
lieu	7.286904762	2.220334447		lieu	5.214285714	1.343217333
lièvre	6.527252503	1.96966238		lièvre	3.071428571	1.051579814
light	12.13793103	2.863564213		light	4.428571429	1.47644647
ligne	5.963292547	1.651978286		ligne	4.964285714	1.201300001
ligue	12.09232481	2.675656888		ligue	3.571428571	0.959497223
lime	8.812013348	2.87331063		lime	3.571428571	1.03381965
lin	11.27474972	2.469600116		lin	3.178571429	0.904866326
linge	6.600667408	1.85785169		linge	5	1.154700538
lion	4.387096774	1.909793661		lion	3.107142857	0.956044541
lire	5.492769744	2.452122188		lire	5.821428571	0.904866326
lisse	8.033251232	2.631282068		lisse	4.142857143	1.208435956
liste	7.24916574	2.077011915		liste	5	1.305260014
lit	3.778642937	1.979464465		lit	5.928571429	1.152407188
litre	8.032142857	2.218262756		litre	5.107142857	1.227441957
livre	4.44047619	1.397863723		livre	5.857142857	1.208435956
lobe	10.20689655	3.483293461		lobe	3.821428571	1.362284884
loft	13.78690476	3.67173109		loft	3.464285714	1.07089934
loge	9.314794216	2.334408355		loge	3.178571429	1.188013325
loi	8.920238095	2.944115502		loi	4.821428571	1.362284884
loin	5.642936596	1.582158591		loin	5.392857143	1.165532328
long	5.209121246	1.998924442		long	5.678571429	1.123933945
look	10.0297619	2.925315584		look	4.785714286	1.286889528
lors	8.849833148	2.881531851		lors	5.785714286	1.315354983
lorsque	7.955952381	2.128352663		lorsque	6.392857143	0.916486274
lot	8.139043382	2.008048322		lot	4.035714286	1.104943198
louange	10.85119048	2.335384977		louange	2.785714286	0.956736074
louche	7.457174638	2.657915749		louche	4.142857143	1.238705588
loué	10.48609566	2.785137204		loué	4.214285714	1.166099635
louer	9.917686318	2.859806746		louer	4.142857143	1.007905261
loup	4.675194661	1.360739837		loup	3.392857143	1.100144291
loupe	6.992213571	1.892259274		loupe	3.785714286	1.133893419
lourd	5.494994438	1.958713644		lourd	4.928571429	1.274495439
loutre	8.599555061	2.894562942		loutre	2.642857143	0.731020885
lu	8.381535039	9.003464088		lu	5.571428571	1.259881577
lueur	9.909323116	2.626597567		lueur	3.25	1.205696356
luge	5.67185762	2.593208665		luge	2.857142857	1.044005311
lui	5.314794216	1.910356607		lui	6.642857143	0.621484824
lune	4.745272525	1.25638156		lune	4.285714286	1.181873681
lustre	8.920238095	2.486977578		lustre	3.571428571	1.230133128
lutte	8.779755284	2.564857622		lutte	4	0.942809042
luxe	9.674082314	2.433635274		luxe	4.071428571	1.184109962
lymphe	13.38141026	2.723120382		lymphe	2.571428571	0.790151014
lynx	9.380422692	3.005371535		lynx	2.714285714	1.013141168
lys	9.848720801	2.777017817		lys	2.928571429	1.051579814
mâche	8.631813126	4.036393578		mâche	4	1.217161239
mai	5.604004449	1.480337073		mai	3.642857143	1.223664373
maigre	6.997775306	1.84274223		maigre	4.535714286	1.170063083
maille	9.071428571	2.741758811		maille	3.107142857	1.065947178
main	3.640711902	1.727699695		main	5.75	1.322875656
maire	8.102335929	2.024580137		maire	4.035714286	1.137969044
mais	5.314794216	2.156261201		mais	6.714285714	0.937180281
maître	5.313681869	1.757931336		maître	3.857142857	1.380131119
mal	4.174638487	1.80620198		mal	5.785714286	1.227980663
mâle	7.923248053	1.978377743		mâle	3.964285714	0.999338405
malle	8.136818687	2.689285791		malle	3.178571429	0.862965234
malt	13.06641124	3.374053416		malt	2.678571429	1.090483122
manche	5.674082314	2.1884349		manche	4.5	0.838870493
mangue	10.34593993	2.626580425		mangue	2.964285714	0.692934867
manque	6.492769744	2.253790117		manque	5.571428571	1.42539329
marbre	9.663095238	2.160512923		marbre	2.928571429	0.71639899
marche	4.745272525	1.764037402		marche	5.5	1.374368542
mare	6.392857143	1.853068383		mare	3.928571429	1.48893627
marge	7.675194661	2.986348869		marge	4.142857143	1.145499591
marque	8.062291435	2.441575377		marque	5.035714286	1.574851971
mars	6.469047619	2.19298778		mars	3.678571429	1.218790275
masque	5.889877642	1.778001778		masque	3.714285714	1.11744228
masse	9.421579533	2.404297228		masse	4	1.217161239
mat	9.58452381	2.413801314		mat	3.214285714	1.133893419
mât	9.213095238	3.090400413		mât	3.142857143	0.84827868
match	7.208008899	1.957615403		match	4.642857143	1.19301317
maths	6.496106785	1.453212977		maths	5.178571429	1.156417566
mauve	7.670745273	2.579905808		mauve	3.428571429	1.168366109
me	5.136818687	2.689285791		me	6.357142857	1.61507449
mèche	7.63403782	2.91750372		mèche	4.428571429	1.168366109
membre	8.14047619	2.434427403		membre	4.357142857	1.061595086
même	5.785317019	1.564388644		même	6.321428571	0.983326607
menthe	6.031145717	2.0388696		menthe	4.285714286	1.049061057
mer	4.709677419	1.58690881		mer	3.5	1
mère	4.423804227	1.847404456		mère	5.714285714	1.150109266
merle	8.101223582	2.594037829		merle	3.071428571	0.978607152
mes	4.85650723	1.899065984		mes	6.892857143	0.314970394
messe	7.958843159	2.257127302		messe	3.5	1.170628195
mètre	7.719688543	2.171665037		mètre	4.607142857	1.547741143
mets	8.704115684	3.676721307		mets	4.428571429	1.525792361
mettre	5.103448276	2.097617696		mettre	5.357142857	1.520581899
meuble	6.175750834	2.494725619		meuble	5.428571429	1.259881577
meule	10.18007663	3.642253403		meule	3.964285714	1.55115591
meurtre	8.676307008	2.155263624		meurtre	3.25	1.350582865
mi	7.958843159	2.151268693		mi	3.928571429	1.561778934
miche	9.038095238	3.050532269		miche	3.25	1.430488132
mie	5.9621802	1.938295449		mie	3.714285714	1.272418021
miel	6.169076752	2.103248895		miel	4.25	1.1426091
mien	4.709677419	1.945493828		mien	5.285714286	1.383959506
miette	5.462736374	1.544327114		miette	5.714285714	1.46204177
mieux	6.177975528	1.733912228		mieux	5.321428571	1.334820599
mille	7.171301446	1.779210892		mille	5.642857143	1.44566493
mime	7.995238095	2.501493807		mime	3.821428571	1.492042384
mince	7.492769744	2.193832999		mince	4.214285714	1.52405752
mine	7.428253615	2.655487319		mine	4.357142857	1.54474703
mioche	9.805952381	3.00210654		mioche	3.857142857	1.40671105
mis	6.209121246	2.379572565		mis	4.5	1.75330376
mise	8.420467186	2.948664724		mise	4.928571429	1.741190981
mixte	9.672969967	2.111412919		mixte	4.428571429	1.525792361
mode	8.63403782	2.201172708		mode	4.607142857	1.499117906
moelle	10.53170189	2.837536414		moelle	4.214285714	1.44932022
moeurs	12.63515017	2.50032256		moeurs	3.464285714	0.999338405
moi	3.775	1.600646421		moi	5.071428571	1.653919507
moindre	11.06229143	2.809737293		moindre	5.428571429	1.642684601
moine	8.281423804	1.368619114		moine	3.607142857	1.314852075
moins	5.246941046	1.55127419		moins	4.535714286	1.971691187
mois	5.778642937	1.708297272		mois	5.642857143	1.496026483
moite	9.622619048	2.314621192		moite	4.571428571	1.399168309
mon	4.568409344	2.063507818		mon	5.285714286	1.902379462
monde	6.325	2.26441741		monde	6	1.465656218
monstre	4.675194661	1.708297272		monstre	4.535714286	1.502643174
mont	8.352614016	2.171169845		mont	3.392857143	1.100144291
montre	5.320355951	1.696929548		montre	4.428571429	1.451144412
mordre	5.210233593	2.087340233		mordre	4.892857143	1.342724861
morgue	11.10714286	2.449489743		morgue	3.785714286	1.286889528
morse	9.842857143	3.328041777		morse	2.928571429	1.152407188
mort	6.562847608	1.814517324		mort	3.571428571	1.525792361
mot	4.814238042	1.686760591		mot	5.464285714	1.201300001
motte	9.066411239	3.028192652		motte	4.821428571	1.826828286
mou	6.064516129	2.276575432		mou	3.535714286	1.290482048
mouche	4.852057842	1.553352254		mouche	4.392857143	1.257254084
moudre	9.604004449	2.488251967		moudre	3.75	1.481365736
moue	9.397619048	3.18112248		moue	3.392857143	0.994029797
mouette	6.492769744	2.326564683		mouette	2.821428571	0.818923025
moufle	6.254727475	3.169410243		moufle	3.071428571	1.051579814
moule	7.345939933	2.834123862		moule	2.964285714	1.07089934
mousse	5.776190476	2.14850924		mousse	3.642857143	0.951189731
mue	10.48152709	2.720565719		mue	2.892857143	0.831744517
muer	10.17908788	2.700856097		muer	3.428571429	1.03381965
muet	7.785317019	2.459128266		muet	3.821428571	1.090483122
mufle	10.625	2.989178012		mufle	2.714285714	0.975900073
mule	8.562847608	2.66316975		mule	3.071428571	0.978607152
mur	4.716351502	1.585553056		mur	4.928571429	1.358882205
mûr	7.435714286	2.708861575		mûr	4.285714286	1.272418021
muscle	7.24916574	2.011793187		muscle	4.857142857	1.044005311
muse	12.67630701	1.873987182		muse	3.214285714	1.166099635
myope	9.706340378	2.644125158		myope	3.892857143	1.196887498
mythe	10.67296997	2.23414365		mythe	3	1.122167215
nacre	11.41123883	2.756094903		nacre	2.714285714	0.809990528
nage	5.9243604	1.249516035		nage	3.642857143	1.12921755
nain	6.919911012	2.586981468		nain	3.392857143	1.065947178
naître	6.285873192	2.438490631		naître	3.857142857	1.078898125
nappe	5.959955506	1.634967363		nappe	3.892857143	1.100144291
natte	6.066740823	1.998924442		natte	3.5	1
ne	5.635150167	2.377312117		ne	6.75	0.518187725
neige	4.459399333	2.055676641		neige	3.428571429	1.199647214
nerf	9.7	2.513412298		nerf	4.357142857	1.223664373
net	8.73452381	2.87298155		net	5.035714286	1.527092198
neuf	5.585714286	1.811838464		neuf	5.142857143	1.458418365
neutre	10.13348165	2.729370324		neutre	4.321428571	1.306779231
nez	3.747497219	1.661065858		nez	5.142857143	1.044005311
ni	6.631813126	2.357782811		ni	6.178571429	1.334820599
niche	5.423804227	1.81095828		niche	3.357142857	1.026114055
nid	5.457174638	1.788253187		nid	3.535714286	0.922241346
nié	9.328571429	2.857536919		nié	3.821428571	1.090483122
nier	9.707452725	2.644125158		nier	3.964285714	0.999338405
noble	10.175	2.577756309		noble	3.142857143	0.970463261
noce	9.668520578	2.51233516		noce	3	0.860662966
noeud	6.148148148	2.591193878		noeud	4.071428571	1.331347728
noir	3.773809524	1.493279966		noir	5.357142857	1.41981443
noix	6.096774194	2.495587504		noix	3.678571429	1.055973184
nombre	5.927697442	1.46866921		nombre	5.428571429	1.136224138
non	3.032258065	1.412692084		non	6.892857143	0.416269652
nord	6.890989989	1.675246732		nord	4.428571429	1.708986519
norme	11.96106785	2.777792115		norme	4.821428571	1.588233853
nos	5.677419355	1.703885503		nos	6.5	1
note	6.743047831	1.785846385		note	5.071428571	1.214985793
notre	5.641824249	1.686760591		notre	6.5	0.693888666
nôtre	6.886904762	2.574186625		nôtre	5.821428571	1.389206313
noué	8.568326948	2.539345558		noué	3.642857143	0.9893614
nouer	8.06785317	2.938070466		nouer	3.821428571	1.218790275
noueux	11.10595238	2.760351469		noueux	2.607142857	0.831744517
nouille	5.402380952	2.211776214		nouille	5.071428571	1.385869734
nous	5.244716352	1.757931336		nous	6.678571429	0.722832465
nu	5.144047619	1.884296875		nu	5.214285714	1.031257516
nuage	4.459399333	1.491913688		nuage	4.928571429	1.214985793
nuance	9.295238095	3.073056811		nuance	4	1.247219129
nuée	11.25925926	3.433032812		nuée	2.678571429	1.020296668
nuit	4.139043382	1.760376304		nuit	5.892857143	1.100144291
nul	5.674082314	2.350017158		nul	5.321428571	1.389206313
nuque	7.815350389	2.273739755		nuque	3.857142857	1.297127474
nymphe	11.8403576	3.506152228		nymphe	2.571428571	1.136224138
oeil	4.06785317	1.516220542		oeil	5.214285714	1.397276262
oeuf	4.464961068	1.690581118		oeuf	5.321428571	1.188013325
oeuvre	9.837803321	2.426252152		oeuvre	4.107142857	1.030615987
offre	7.923248053	2.940631196		offre	5.142857143	1.297127474
ogre	7.95105673	12.96090067		ogre	3.071428571	1.184109962
oie	5.598442714	1.780419185		oie	3.178571429	1.123933945
ombre	6.52836485	2.586981468		ombre	4.178571429	1.055973184
on	5.101223582	2.096592217		on	6.857142857	0.448395139
oncle	5.244716352	1.832208844		oncle	3.857142857	1.007905261
onde	11.06785714	2.695462343		onde	3.821428571	1.020296668
ongle	5.243604004	2.112431204		ongle	4.857142857	1.145499591
onze	5.352614016	1.283476462		onze	4.607142857	1.617938462
or	7.031145717	2.41322521		or	4.928571429	1.537881454
ordre	6.710789766	1.94383503		ordre	4.642857143	1.366647309
orge	10.99555061	2.459565483		orge	2.714285714	0.937180281
orque	9.061904762	2.476556749		orque	2.5	0.509175077
os	5.710789766	1.52046965		os	4.464285714	1.318869967
ou	5.179761905	2.042367344		ou	6.714285714	0.712696645
où	5.709677419	2.460002623		où	6.678571429	0.862965234
ouest	7.502780868	1.544327114		ouest	4.142857143	1.508354161
oui	2.81868743	1.569877743		oui	6.785714286	0.629940788
ouïe	8.458286986	2.77120369		ouïe	3.607142857	0.956044541
pacte	10.8865406	2.673244575		pacte	3.285714286	1.049061057
page	5.210233593	1.757931336		page	5.25	1.294575578
paille	6.352614016	1.802029919		paille	3.464285714	0.999338405
pain	3.959955506	1.863630403		pain	6.392857143	0.785954749
pair	8.761174968	3.67021026		pair	4.107142857	1.165532328
paire	7.032258065	3.065240435		paire	4.75	1.377732974
paix	7.815350389	2.345895523		paix	4.25	1.294575578
pale	8.386217949	2.585462315		pale	3.785714286	1.257780021
pâle	8.416347382	2.132322215		pâle	4.035714286	1.290482048
palme	7.922135706	2.682880814		palme	2.964285714	0.744468135
pan	8.598290598	4.509249753		pan	3	1.276569477
